url,doubt_withought_tags
14montegocourt.com,"['The resource you are looking for has been removed, had its name changed, or is temporarily unavailable.']"
3hlg0.submitofferlink.com,"['Win Free Spins', 'TODAY ONLY:', 'Claim (3) Free Spins', 'Below', 'Paid Out:', '$', '9,511,898.22', 'SPIN BEFORE:', '00:05:11:114', 'SORRY, YOU MISSED!', 'You have (', ') more spins', 'YOU HAVE 3 FREE SPINS', 'to win up to $500', 'Spin', 'Stop', 'Spin', 'Stop', 'Spin', 'Stop', 'CONGRATULATIONS!', 'You are nearly there!!', 'Now answer these 3 questions:', 'QUESTION 1', 'Are you over 18?', 'Yes', 'No', 'QUESTION 2', 'Have you won anything online before?', 'Yes', 'No', 'QUESTION 3', 'Do you have a valid email address?', 'Yes', 'No', 'Checking answers, please wait...', 'CONGRATULATIONS YOU WON', 'a $500 Amazon Gift Card', '!', 'Claim Your Prize Below:', 'Claim Your', '$500 Amazon Gift Card', '!', 'Register at Everyday Winner & Play For Free!', '(2) Spots Available', 'CLAIM NOW', 'Comments:', 'Alex Gregory', 'I never get lucky with this kind of thing,\n                        I do not\n                        even know why I try to fight.', 'Sam Bartels', 'Boom! Now $ 1,000\n                        won. If I win\n                        the jackpot, maybe the girl of my dreams will show up. LOL', 'Brenda Stevens', '#lost', 'Anton Prinssen', '$ 100\n                        richer! That was easy. Thanks for the contribution!', 'Johan Groenewald', 'The slot does\n                        not work on\n                        my iPhone. Is there anyone with this problem?', 'Bennie Prinsen', 'I have been\n                        trying to win\n                        this jackpot in the past 2 weeks. The last jackpot was $ 3,000,000 and\n                        was given to\n                        someone from my neighborhood named Gerard. This jackpot is the biggest they have ever had. And\n                        he will soon\n                        fall. Unfortunately I did not win any free spins, but then I will pay for spins.', 'Samuel Robles', 'how do I get that\n                        secret\n                        price. I want that instead of the money', 'Mike Aivalis', 'My wife said that\n                        the chance\n                        of winning is higher than being hit by lightning. So here I am in a swimming pool with a metal\n                        bar. hahaha', 'Jannie Fengold', 'Can I try again because it started\n                        spinning without\n                        me tapping and then I lost.', 'Charles Richards', 'I could not believe it when I won. I\n                        had dreamed\n                        of winning something.', 'Erik Steel', 'Came at $ 0 .......\n                        always happens\n                        to me. I was hoping for some money for beer and pizza tonight!', 'Copyright © 2021 - All Rights Reserved.', 'Terms and Conditions', '-', 'Affiliates']"
62.246.93.122,"['Outlook Web App', ""To use Outlook Web App, browser settings must allow scripts to run. For information about how to allow scripts, consult the Help for your browser. If your browser doesn't support scripts, you can download"", 'Windows Internet Explorer', 'for access to Outlook Web App.', 'Domain\\user name:', 'Password:', 'Show password', 'sign in', 'Outlook Web App', 'Please enable cookies for this Web site.', 'Cookies are currently disabled by your browser. Outlook Web App requires that cookies be enabled.', 'For information about how to enable cookies, see the Help for your Web browser.', 'retry']"
bahamas-love.com,"['Account Suspended', 'Account Suspended', 'This Account has been suspended.', 'Contact your hosting provider', 'for more information.']"
beerevolution.cz,['']
bulbten.com,['']
epayablesgeiger.fireplaceplace.com,['']
franchiseinformant.com,"['Account Suspended', 'Account Suspended', 'This Account has been suspended.', 'Contact your hosting provider', 'for more information.']"
hockeyweb.site,"['404 Not Found', '404', 'Not Found', 'The resource requested could not be found on this server!', 'Proudly powered by', 'LiteSpeed Web Server', 'Please be advised that LiteSpeed Technologies Inc. is not a web hosting company and, as such, has no control over content found on this site.']"
jsadigitalgroup.com,"['Account Suspended', 'Account Suspended', 'This Account has been suspended.', 'Contact your hosting provider', 'for more information.']"
