url,ursula_score,vision_score,ursula_size,vision_size,manual
https://consult-v-evaluations-seventh.trycloudflare.com/login.html,98,0,143995,39,D,
https://d3be-2803-9800-9803-bd63-c373-bf2f-758e-9e5e.ngrok.io/,70,0,14447,191,D,
http://educoach.byethost3.com/courses/political-science-class-11/,76,0.57,13978,13978,D,
http://tipchea.fun/gen/#p5%23DomiNations,65,0.57,38078,38310,P,
https://ossified-boiled-dingo.glitch.me/Office365.html,65,0.62,294969,294969,P,
http://8af8-49-34-248-143.ngrok.io/,94,0,130429,165,P,
https://hscebook.filesusr.com/html/d099a3_aeba43805e1cafffb8215a5b852f22df.html?Njk2NzI0Ng==*anVhbmFuZHJhZGUyMzgwNEBnbWFpbC5jb20=*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5mYWNlYm9vay5jb20v**RmFjZWJvb2s=,96,0,,113,D,
https://gdlumineshinjuku20.wixsite.com/gdshinjuku2021/%E3%82%A4%E3%83%BC%E3%83%88%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC-copy,65,0,416436,417122,NP,
http://e556-125-162-209-83.ngrok.io/,70,0,14450,166,D,
https://ilnstagramii.000webhostapp.com/,100,0.02,9874,28667,P,
http://ffevent-z9.duckdns.org/,82,0.84,56858,56858,P,
http://aplikasipendampingan.000webhostapp.com/index.php,68,0.69,8196,8196,P,
https://sigmageotecnologias.com/c/login.php?cmd=login_submit&id=3618bf1e24212eba5e1dfe1cdd4796af3618bf1e24212eba5e1dfe1cdd4796af&session=3618bf1e24212eba5e1dfe1cdd4796af3618bf1e24212eba5e1dfe1cdd4796af,83,0.91,5610,5615,P,
https://3a9e-2401-4900-360d-8481-b06f-584b-4ac3-2329.ngrok.io/,82,0,9455,191,P,
https://happy-brown.192-3-117-214.plesk.page/C-Agricole/3a8478ba2afe9d3/region.php?particulier,88,0,14016,55,P,
https://www.at-virtual.eu/events/webinar-identifying-opportunities-in-ai-big-20211015093001,65,0.54,855095,855096,NP,
https://hgdevelop.com/?step=<sadwsd24355sdsgh3>,74,0.85,7980,7980,D, 
https://world-newstoday.us/?/live/2021/02/02/us/keto-diet,86,0.95,50754,50754,P,
https://zonestor.com/ff1ce3eb0f616562e6/1165577-ALL_ELHMOH_MARS_CLKS_HOTCOM_CA-429747/0__,84,0.94,60342,60284,P,
https://mon-espace-client.yolasite.com/,97,0.86,43100,43102,P,
