url,ursula_score,vision_score,ursula_size,vision_size,manual
https://publications.iadb.org/es/big-data-para-el-desarrollo-urbano-sostenible,16,0.26,50312,92068,NP
https://www.applebees.com/en/ive-arrived?order_id=NjAzMDI2NTk4MjI1NTEwNQ==&store_number=8240,25,0.28,,542542,D
https://newyorkkorea.net/board/index.html?no=3110&asort=recent&id=sellbuy&page=21,33,0.36,,142421,NP
https://www.funwisher.com/5-podcastow-5-ujec-funwisher-co-jak-i-dlaczego/,15,0.2,369616,371996,NP
http://xn--399a55kf8e3mevyewpc.com/board/index.html?asort=recent&id=board1&mindex=5&no=170&page=5,27,0.28,,15279,NP
https://online.rama3honda.com/car_detail/CIVIC_2021?utm_source=Facebook&utm_medium=post&utm_campaign=Civic2021_Sep,28,0.43,867927,904225,NP
http://parking.zoomansa.com/client/owner.jsp?tranUID=155497,38,0.12,,5331,NP
https://lapulga.com.do/f/5871638-1.jpg,14,0.11,,9656,NP
https://open.spotify.com/playlist/2NrjRBwGUJEVJYItNfjdst?si=8JQllgWkRrWwFSOhc2LaDQ,0,0,0,3460,NP
https://3goodsoftspace.online/utorrent-download-2-2-1-utorrent-2-2-1-build-25302/#CEY5vu,8,0.11,41238,40852,NP
https://www.alabamanewscenter.com/2018/08/26/lake-martin-waterfront-homes-selling-27-days-faster-on-average-compared-to-last-july/sales-v-inv-historical-7/,10,0.12,,65071,NP
https://calendly.com/alwayshustling05/sesionrefuerzohfxm1-b3?month=2021-12,0,0,0,85594,NP
http://happymembers.co.kr/order_use.php?order_code=MmgwUkNKbTFqUG9kTmlrOG0vWEZjd1IrKzlDZUplTnRXRTlzRU9mazJMRWlaRnNLQmphUXh0ZXBxZ0RVcmswOA,18,0.13,2302,2253,NP
https://capmocracy.tumblr.com/post/669410140927164416/five-star-qb-malachi-nelson-first-former-oklahoma#_=_,0,0,0,100909,NP
https://www.amctheatres.com/amcstubs/invite/1bb93b95-0335-499c-8d4c-415896bccfe4,19,0.28,,332628,D
https://xnxx-sex-tube.com/clipxxx-perkosa-mom-japan-1,28,0.23,135733,134991,NP
https://residentverify.com/esignPolicyDocuments/?module=application_esign_policy_document&action=view_policy_documents&keys=WpqioKTPnMajrJHNmZBzZmluam1oYWuJmaGo0puTlaidqKCLocqWomZubpltbG9rV5mim3Fha5xpZw==,25,0.2,,36362,D
https://viewer.autodesk.com/id/dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6YTM2MHZpZXdlci90NjM3NzQwMDAzOTY2NDgwNzk0X2IwN2FlOGRiLWNlZWMtNGEzMC1hOTY1LTYyYWU1NTMwZTFhMS5jb2xsYWJvcmF0aW9u,0,0,0,235061,NP
https://www.xfinity.com/mobile/support/device-troubleshooting?page=device/apple/iphone-12-pro-ios-15/topic/device/reset-options/19,0,0,0,26726,NP
http://m.v1sports.com/_geoloc.asp?params=5909715$19797778314$0$HIGA$2944856$True$XX&protocol=rtsp,19,0.37,11167,17426,NP
https://www.son.co.za/Nuus/Boland/hul-geniet-die-winter-20210714,21,0.3,,155588,NP
https://progressresidential.sjc1.qualtrics.com/jfe/form/SV_eEvBzxxKtoarcrj?Email=smduckw%40gmail.com&FPro+Prop+Int+Name=J002537681&FirstName=Sarah&Home_Status=Vacant+Unrented+Ready&LEAD_ID=00Q3o00001BWJho&LastName=Duckworth&Leasing+Specialist+Email=badkins%40rentprogress.com&MSA=Tampa&Neighborhood=&OWNERID=0050V000007eOiR&Phone=%28813%29+786-9741&Price=&Property+ID=a0H3o00000oyob0&TRANSFER+FROM=&Tribeca=641033,0,0,0,62450,NP
https://boschmexcellence.com/,10,0.05,,29973,NP
https://0x754.app.link/yx8T5ZpMIkb,16,0.34,,12998,NP
https://shopee.ph/product/481435356/10417071227?af_click_lookback=7d&af_reengagement_window=7d&af_siteid=an_13266010000&af_sub_siteid=7129dad6c7894fd1a0845c3903f5df5a-292161-101653&af_viewthrough_lookback=1d&c=4jcxwct5oxfq-&is_retargeting=true&pid=affiliates&smtt=0.529396299-1638403656.9&utm_campaign=4jcxwct5oxfq-&utm_content=7129dad6c7894fd1a0845c3903f5df5a-292161-101653&utm_medium=affiliates&utm_source=an_13266010000,30,0.32,304465,322474,NP
https://client.waitbusters.com/widget-line/61a80e722dbf268dc9160389,25,0.35,52976,47646,NP
https://ride.lezyne.com/products/flow-cage-sl-l,15,0.16,260881,276438,NP
https://twitter.com/intent/tweet?source=Twitch&text=Come+watch+%40jahrobsta+play+Mortal+Shell%3A+Enhanced+Edition+on+Twitch%21+https%3A%2F%2Fwww.twitch.tv%2Fjahrobsta,0,0,0,111731,NP
https://d1o38m7824kmm1.cloudfront.net/1638403699504-5762bd68-b2c9-472b-97d7-e97bf064e415.html?Expires=1642291700&Key-Pair-Id=APKAJEQ6Y2OX7CHZ7XWA&Signature=GUXin1NtluaXNkwYjSFDcUkzbqVnKrjyEPguo5kOypIkM8~fZcSxu993P-wyD60F4DbFj40KkBgaUgc-QMpgZrjuLXemYv88o-mjS~oBfNmCfCE6iFVmaJI4G0U5tRdLtIZ57fFc12TWqkDyiQbixqRLG-f2uEWeV-l~mKafxWBMuIfVw9ve1~48NeGDM7cJYF92zDTDjCC16w~nIXBIEaFJs0YoCW5JoXFmLZ4vB-8HsW45g0c~1sp3BcJyGTns4RJiuTzfncZNGd2ZQXcArsISNz~MDmQZXwxjFMf8bEFok8A-twrQS0ucDGG8~Dk1-Kos1OY3U3VaYq1ZTndVww__,14,0,,77909,NP
http://uploaded.net/ref/16650407,28,0.31,27952,28301,NP
https://www.washingtonpost.com/blogs/compost/wp/2015/04/02/march-dynamic-duos-madness-your-final-four/,0,0,0,527967,NP
https://redcape.au1.qualtrics.com/jfe/form/SV_0VC3rjvy0x1IqYR?FirstName=Jodie&LastVisitedVenue=Leumeah+Hotel&Tier=Change+Starter&sfContactId=0036F00002mlYxRQAU,0,0,0,39366,NP
https://lifesong.churchcenter.com/giving/to/missions-support-for-browns,15,0.3,,64972,NP
http://www.video-bookmark.com/bookmark/4693066/utilize-these-vehicle-maintenance-ways-to-repair-your-automobile/,28,0.26,9953,10505,NP
https://www.amazon.co.uk/Split-20-12-VINYL-Alog/dp/B002OQZEOA/ref=sr_1_1?ie=UTF8&s=music&qid=1259539370&sr=8-1-catcorr?tag=theartsdeskco-21,0,0,0,815420,NP
https://sacramento.cbslocal.com/?p=727219,0,0,0,627905,NP
https://www.mindbodyonline.com/explore/locations/champs-boxing-studio,11,0.26,6512,41033,NP
https://apps2.dashplatform.com/dash/index.php?Action=Auth/login&teamID=17034&cid=gameon&company=gameon&utm_source=dash-share&utm_content=67258,31,0.22,52748,76060,C
https://www.dropbox.com/s/uo2ezdqj4ahjdh4/401k%20or%20Roth%20401k%20Which%20is%20Better.xls?dl=0,0,0,0,487436,NP
https://form.jotform.com/212505477574157?companyOf=Hot+Spiderman&message58=Seasons+greetings+from+your+favorite+spider%21&nameOf=Toby&numberOf=CCCCWW&selection=&senderId=rec9oykZg89iUboyJ,38,0.41,,129371,NP
https://www.australiancurriculum.edu.au/resources/curriculum-connections/dimensions/?id=64594&searchTerm=interpersonal%2Bskills,20,0.31,,63469,NP
https://www.mysantaphoto.com.au/gallery/06kLoW9MVvvkPusElOli,9,0.09,4730,8315,NP
https://www.clearlyrated.com/solutions/contact-us/?utm_campaign=December Lock-In Prices 2021&utm_content=189576351&utm_medium=social&utm_source=facebook&hss_channel=fbp-184048735641331,11,0.22,34174,124706,NP
https://home.mcafee.com/downloads/keycard.aspx?affid=1438&culture=ES-MX&tk=_-EDI4CeirXjyuG072xIwf4QuKZAta24gWgMivISmmQm5FBB63EySMDdOoQqBhRn0&tp=48,0,0,0,33757,NP
"https://sync.ecal.com/button/v1/ecal.html?apiKey=cb9bb049baf005802013b5a8fd56aa245a73ff40cac6d&mobileNumber=+61405220928&widgetId=5a934910f5e2e8c9638b4567&calendarIds=609b569472f7b76a85ea043a&category=&k=&d=&email=&referringPage=&rest={""sendToPhone"":true,""referringPage"":""ConfirmationEmail"",""calendar_reference"":""ECVN2021794JL""}",16,0.08,2416,2421,NP
https://www.univision.com/local/nueva-york-wxtv/cardi-b-presenta-su-nueva-casa-en-nueva-york-pero-queda-en-nueva-jersey?utm_campaign=univisionNY&utm_medium=social&utm_source=twitter,24,0.32,,375631,NP
https://www.scmp.com/news/asia/southeast-asia/article/3158084/asean-members-russia-holding-first-naval-drills-indonesias,0,0,0,729099,NP
https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3Ameeting_NDM5ZGExN2EtMTFiZi00ZDVkLWJmZmQtN2Q4MjQ5NDJlNGNi%40thread.v2%2F0%3Fcontext%3D%257B%2522Tid%2522%3A%252254218e16-e632-4641-acea-6ab90c10f34c%2522%2C%2522Oid%2522%3A%2522ced0d311-65b9-4c5d-aee2-9fbd9c470000%2522%257D%26anon%3Dtrue&type=meetup-join&deeplinkId=0ec2a2cc-ba6c-4068-ba45-eeb61edcef3e&directDl=true&msLaunch=true&enableMobilePage=true,0,0,0,12039,NP
https://www.rusticpanremedies.com/shop/packages/8?page=1&limit=60&sort_by=category_order&sort_order=asc&utm_content=buffer77355&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,14,0.23,46982,49612,NP
https://www.hyundai.com/worldwide/en/n/n-story,28,0.34,91672,713528,NP
https://rx.bartelldrugs.com/pay-and-go/?guId=74b4508694fd457da2c9123262e8d4e3&storeNumber=06963,15,0.26,,101538,NP
https://checkout.stripe.com/pay/cs_live_a1sPYeQdkEOUJENcHcPQhESxuIypPnpLgPMZIfMcPWPWbeRPF3m2yS15EP#fidkdWxOYHwnPyd1blppbHNgWm5VX09vf05WfUw2VlExMEJcfXE8djFjNjU1anxJdXxwY2wnKSdjd2poVmB3c2B3Jz9xd3BgKSdpZHxqcHFRfHVgJz8ndmxrYmlgWmxxYGgnKSdga2RnaWBVaWRmYG1qaWFgd3YnP3F3cGB4JSUl,8,0.17,,6310,D
