url,ursula_score,vision_score,ursula_size,vision_size,manual
https://ybc.onpay.my/order/form/zerotohero,34,0.33,123072,123239,NP
https://0297.nl/nieuws/82884/dry-january-in-gemeente-aalsmeer-zeg-ja-tegen-een-alcoholpauze,25,0.29,305949,338235,NP
https://www.wadiz.kr/web/waccount/wAccountLogin?returnURL=https%3A%2F%2Fwww.wadiz.kr%2Fweb%2Fwmypage%2Fmyfunding%2Fpurchase%2F6917622%3Futm_source%3Drs%26utm_medium%3Dpush%26utm_campaign%3Ddelivery_arrival,35,0.28,,133394,NP
http://www.myfpcenter.xyz/m/survey/survey.php?name=박연수&hp=010-2458-0913&uid=75167,4,0.34,2904,5079,NP
https://valleywaste.ca/roll-off-container/?utm_source=ig_story&utm_medium=organic&utm_campaign=christmas_roll_off,15,0.15,,233006,NP
https://www.atomtickets.com/login,43,0.36,,648143,NP
https://twitter.com/EsDiarioPopular/status/1468045959997362178,0,0,0,101918,NP
https://portal.insularlife.com.ph/CustomerPortalV2/bill/pay?RefId=9C7632A9-47EF-423F-9AC7-BF8D8CE8CEAA&s=ibs,4,0.17,,12716,NP
https://abitcrafty.com/products/christmas-sublimation-santa-ho-ho-ho-joy-knights-fa-la-la-sublimation-png-mascot-digital-download-sublimation,14,0.17,103527,176520,NP
https://sacramento.cbslocal.com/video/6168889-meyer-outlet-sale/,0,0,0,207654,NP
http://vnsaletop.biz/red-krill-oil?click_id=273141031003FA1&aff=A100036506&l_id=0002,22,0.29,25310,26949,NP
https://www.eosysgroup.com/careers?utm_source=facebook&utm_medium=organic-social&utm_campaign=employee,17,0.25,64131,67318,NP
https://zoom.us/webinar/register/WN_ueZYixnTSr6Bk_R23FPQ2g,0,0,0,39065,NP
https://donghohaitrieu.com/san-pham/seiko-srpd51k1-nam-automatic-tu-dong-day-kim-loai?utm_source=Youtube-Kenh-Dong-Ho-Hai-Trieu&utm_medium=cpc&utm_campaign=Youtube-Album-So-Sanh-Dong-Ho&utm_term=2020-05-06--Hoang-Hai--Top-3-dong-ho-Casio-dang-nhat-quy-mot-nam-2020&utm_content=2020-05-06-x-adhere-4-x-Hoang-Hai-x-Thanh-Cong-x-Huynh-Le-x-Ngoc-Duy--re=youtu.be,19,0.15,320848,316019,NP
https://prettywife-diary.com.tw/archives/2579?utm_source=fb&utm_medium=CVkiji&utm_campaign=all_kiji2579&utm_term=210319&utm_content=abfb_CVkiji_210319_205_CF006_m01_t03&abad=abfb_CVkiji_210319_205_CF006_m01_t03,16,0.15,210235,232750,NP
https://www.filmdienst.de/artikel/41191/warten-aufn-bus-tv-programm-rbb,27,0.32,30468,80002,NP
https://www.bbc.com/zhongwen/simp/world-59546686?at_custom3=BBC+News+Chinese+(Simplified)&at_medium=custom7&at_custom1=%5Bpost+type%5D&at_custom4=7B71D35A-5709-11EC-A333-EBFC15F31EAE&at_campaign=64&at_custom2=facebook_page,0,0,0,365051,NP
https://www.makepages.com.br/r/AKW11901915,6,0.06,,2607,NP
https://inc42.com/buzz/indian-govt-approves-setting-up-of-pm-wani-public-wi-fi-network/,16,0.17,176984,187245,NP
https://www.dropbox.com/s/ly48jtg57x2l9bq/Julian.pptx?dl=0,0,0,0,488436,NP
https://www.amctheatres.com/orders/2ff6564a-a660-4497-9f8c-194c429e8aab/confirmation,36,0.25,,270685,D
https://www.iie.org/Programs/Freeman-ASIA/About/Award-Details,15,0.27,,21398,NP
https://aprendeainvertirya.blogspot.com/2020/05/quieres-aprender-invertir.html,6,0,105337,105791,NP
https://www.bandt.com.au/aussie-digital-ad-spends-surge-42-year-on-year-led-by-video-advertising/?utm_campaign=B%26T+today%3A+7th+December+2021&utm_content=Aussie+Digital+Ad+Spends+Surge+42%25+Year-On-Year%2C+Led+By+Video+Advertising&utm_medium=email&utm_source=Adestra&utm_term=,22,0.23,,184575,NP
https://hoverflix.xyz/?do=play&id=68716,18,0.18,33833,37887,NP
https://shopee.co.id/mall/search?keyword=marsden&shop=124495888,31,0.35,,94507,NP
https://www.osohshiki.jp/plan/reduce/?mailback=93e6a16c3d19d86a9d1fa11742df4f4a72c924f4ca5736aecda6c87c0083355b#at02,11,0.28,,93347,NP
http://aanbeousploaue.com/?book=1492675415,14,0.2,22887,34553,NP
https://www.hatch.co/?utm_source=Instagram&utm_medium=PaidMedia&utm_campaign=milenaciciotti&utm_content=Influencer&coupon=MILENA10,13,0.19,9112,127502,NP
https://www.fedex.com/fedextrack/?action=track&trackingnumber=9261290988177140375605++++++++,0,0,0,1732481,NP
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/cikal.co.id/programcikal/pd-day&followup=https://sites.google.com/cikal.co.id/programcikal/pd-day,0,0,0,1843602,NP
https://vnexpress.net/error.html,16,0.23,,126508,NP
https://saxomrazan.netlify.app/3.html,38,0.15,371619,125962,NP
https://www.modere.com/product/cart?scid=8AUOzwiDcxZi7%2BhkgpkjSTPiRnMeMwaXFuLYY9i9sg/LKLPaS1SZc3KFR8FOfTy%2B,8,0.4466666667,10383,208400,NP
https://dagangnews.com/de-paula-sepak-botol-air-selepas-dikeluarkan-pada-separuh-masa-kedua-11168,7,0.23,46427,189910,NP
https://www.homebrewfinds.com/2013/06/putting-together-brew-day-box.html,14,0.18,120372,247200,NP
http://www.contagem.mg.gov.br/index.php/concursos/pss_pmc_0111/arquivos/concursos/servidor/?og=191282&materia=443269,20,0.19,34812,44237,NP
https://www.goodsmile.info/en/product/11937/Shiro+Yuu+Kamiya+Art+Works.html?utm_source=social&utm_medium=youtube&utm_campaign=shiroyuukamiyaartworkspv&utm_term=goodsmilechannel,23,0.15,52778,76189,NP
http://mindsc.ape.jp/klel/yui.cgi?axn=axnyui&ism=ismyui&nem=ennem&rein=dolktek&xik=enxik&ziko=ilm,16,0.14,2160,2160,NP
https://levtech.jp/contact/recruit?gclid=Cj0KCQiAtJeNBhCVARIsANJUJ2GRvw52VG3mMOiDS1UdTEYpvHzZaGwedmONf2OFayqfJayg2EKK5_UaAoLMEALw_wcB&hsa_acc=7534663563&hsa_ad=545441217084&hsa_cam=10018466780&hsa_grp=130020198631&hsa_kw=%E4%BA%BA%E6%9D%90+%E6%8E%A1%E7%94%A8+%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9&hsa_mt=b&hsa_net=adwords&hsa_src=g&hsa_tgt=kwd-432241231810&hsa_ver=3&sip=b00136_016&utm_campaign=S_%E9%96%A2%E6%9D%B1_toB%E4%B8%80%E8%88%AC&utm_medium=ppc&utm_source=adwords&utm_term=%E4%BA%BA%E6%9D%90+%E6%8E%A1%E7%94%A8+%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9,16,0.2,39046,56612,NP
https://www.enlacetelevision.com/2021/10/19/al-evitar-ser-robados-dos-jovenes-se-accidentan-en-barrancabermeja/,11,0.16,155826,216588,NP
https://digivox.com.br/conteudo/blog/blog-post/as-melhores-praticas-para-uma-boa-estrategia-omnichannel,7,0.25,44066,79622,NP
https://digicre.online/product/dr085-ondemand/?utm_source=faxdm&utm_medium=shorturl&utm_campaign=1week_sp&utm_content=1753_20211213_kyf,12,0.13,110368,103612,NP
https://blog.insta360.com/jp/best-skiing-camera-insta360-one-x2/?utm_source=youtube&utm_medium=social,14,0.12,93455,87291,NP
https://portamur.ru/news/detail/v-blagoveschenske-otkroyut-bolshe-ledovyih-ploschadok/,34,0.3,138401,246671,NP
https://nopac.nc/samsung/57333-tablette-8-samsung-galaxy-tab-a-noir.html?search_query=T290-NOI&results=1,22,0.25,127386,138259,NP
https://mypage.houstep.co.kr/v2/home?projectId=70675005-d2ce-4071-8ce3-c8dbb5ce717e,12,0.17,37560,37560,NP
https://creator-taiwan.com/%E6%88%91%E5%80%91%E7%82%BA%E4%BB%80%E9%BA%BC%E8%A6%81%E4%BD%8F%E5%9C%A8-%E5%85%AC%E5%9C%92%E6%97%81%EF%BC%9F/,6,0.08,81195,124803,NP
