url,ursula_score,vision_score,ursula_size,vision_size,manual
https://cloud.e-news.chanel.com/CJA_TH?CM=01_Birthday_THA_FBP&ID=0032v00003ne7MGAAY,68,0.62,,35531,P
https://f002.backblazeb2.com/b2api/v1/b2_download_file_by_id?fileId=4_zbf83cc40d518961571dd0417_f11810ee354e235a2_d20211206_m223355_c002_v0001112_t0032#[[-Email-]],79,0.79,,6171,P
https://e917-201-175-157-138.ngrok.io/,69,0,14482,14482,D
https://sharefilles.s3.us-west-002.backblazeb2.com/document.html#[[-Email-]],79,0.79,,6171,P
http://marcobtc.xyz/?r=0x25cd92857e273088AA266bE09C4834C6f75A6621,72,0.54,35145,35143,D
http://50000000000943256785264685236.tk/checkpoint_next.html,65,0.01,2789,10129,D
https://fortnite-generator43.blogspot.com/,71,0,67150,67153,P
https://account.docusign.com/oauth/auth?client_id=2CC56DC9-4BCD-4B55-8AB0-8BA60BAE1065&redirect_uri=https%3A%2F%2Fapp.docusign.com%2Foauth%2Fcallback&response_type=code&scope=all+click.manage+me_profile+room_forms+inproductcommunication_read+data_explorer_signing_insights+notary_read+notary_write+search_read+search_write&state=%7B%22back%22%3A%22%2Fhome%22%2C%22authTxnId%22%3A%229a19673f-82c7-4911-be7d-3aeea80f30ca%22%7D#/password,79,0.9,,92221,P
https://announced-granted-radar-measurements.trycloudflare.com/login.html,97,0,745692,39,D
https://apoyaalorena.filesusr.com/html/6e5cb3_9c2bc32d28d59c35d5ca263a6ac09875.html?MjMyMjc4OQ==*bG9yZXB1dGkyMUBnbWFpbC5jb20=*aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL3Bob3RvLnBocD9mYmlkPTg2NjU4NTQ0MDc4NDA5OCZzZXQ9YS4xMTg4MzA0NzIyMjYyNjkmdHlwZT0zJmFwcD1mYmw=**QXBveWFhbG9yZW5h*RmFjZWJvb2sgUG9ydHVndWVz*,96,0,,113,D
https://featuring-smart-fabrics-soil.trycloudflare.com/login.html,98,0.99,143995,143995,P
https://orange-id.duckdns.org/login_orange/,94,0.82,20892,20892,P
https://mjaymuf1z3vzdde1mtj0aa.filesusr.com/html/c69417_3069841d505568614ed8bca153fc7adf.html?*c2t5ZGVybGl2ZSoqKmVzKg==*,96,0.98,59274,59274,P
https://fuloboook.000webhostapp.com/group/,82,0.24,6989,27014,D
https://iquitosconocida000chica000.000webhostapp.com/Foto.html,80,0.02,64061,28667,D
https://normels.com/view-private-Instagram.html,68,0.64,6962,6962,P
https://gamingsurfx.com/?a8e6fc7,74,0.63,59300,58644,P
https://derder1203kontesklasik.000webhostapp.com/Pelasik/masuk.php,65,0.02,,28667,D
https://webuntukmelihatkamuapabukanweb000.000webhostapp.com/ins.php,65,0.24,11176,27014,D
https://machinengineering.site/page/km/index.php?quote=ndole@burkeprocess.com,84,0.83,8648,8648,P
https://loltucb.000webhostapp.com/LootM5/index.php,90,0.83,19094,19094,P
https://hugoqr.000webhostapp.com/,90,0.56,,63995,C
https://eduscavenger.com/MA/delete-someone-off-snapchat-before-they-view-my-story-will-they-still-see-it.html,66,0.65,7689,7689,P
https://secura-act.webcindario.com/step1.html,67,0.68,14311,14311,P
