url,ursula_score,vision_score,ursula_size,vision_size,manual
https://www.elmanana.com/aprueba-congreso-local-eliminar-cobro-por-canje-de-placas-2022/5464530,18,0.15,,409571,NP
http://www.jamilin.com/Skin/Store/all-products.php#YS,18,0.26,100058,100292,NP
https://blog.naver.com/120seoulcall/222589674606,0,0,0,175559,NP
https://www.coloradogives.org/pbs12/overview?step=step1&utm_content=190268476&utm_medium=social&utm_source=linkedin&hss_channel=lcp-1751291,16,0.2,115454,147596,NP
https://www.isapartners.org/summit/2021-women-in-industry-summit/,19,0.19,120459,131685,NP
https://docs.google.com/forms/d/e/1FAIpQLSeDTlEufgkPFlEKTzszaFgx23wzZC-x6CgTt67GUgbGf9YYlQ/viewform?usp=sf_link,0,0,0,102628,NP
https://floradelivery.ru/photo/H2LUnOuJ/,16,0.26,,198548,NP
https://www.info.gov.hk/gia/general/202112/08/P2021120800232.htm,26,0.24,12874,17180,NP
http://www.abarepizzarias.com.br/website2018/site2020/PesquisaAbare/form/?q4_dadosCliente=Andre-369489-ecoville,33,0.4,,55797,NP
https://www.urbanoutfitters.com/order/TN10773626/?customerZipCode=93206,30,0.31,,364321,NP
https://smiledirectclub.com.mx/es-mx/checkout/?w=impr&discount=SMSSMILES&utm_source=SFMC&utm_medium=sms&utm_campaign=tof_klead_day10_track1_mx&utm_content=2021-12-07&utm_term=5767d2be-3c86-4c28-8b7c-5076902b7860&token=,35,0.37,,323456,NP
https://www.menhuges.com/products/mens-plaid-gradient-printed-long-sleeve-shirt_xe4o,27,0.26,,740410,NP
https://saborgostoso.com.br/receita/4384-massa-de-panqueca-simples/,15,0.21,118934,159257,NP
https://hychika.com/products/3-6v-cordless-screwdriver-6-n-m-hychika,14,0.17,180222,192658,NP
https://www.wsws.org/en/articles/2021/09/30/pers-s30.html,22,0.23,140781,155061,NP
https://zohosecurepay.com/books/spaceboxhongkong/secure?CInvoiceID=2-3a769552e57cea83a080f953cfae17b184f04bffb5c3d4b7bbc35771c43745f6730b36eda41b6612c56b4330453f9c8aa74cb6e5daf077fcbcec3a1215f480563cac44edc835bd59,22,0.22,,15459,NP
https://d1o38m7824kmm1.cloudfront.net/1638929598616-f110832c-a934-455a-9bbe-85035a6fc779.html?Expires=1642817599&Key-Pair-Id=APKAJEQ6Y2OX7CHZ7XWA&Signature=BzDWHR9rvK205oQ0EG3jaaQ~YE88bJYOcL3kZt3Zsm5hS5a2~KxhkjzoSGhMdwceUZdk9s796OiS47lUQpUDouy1xkOc~tX5UDCZMhbajv6meTxIaf2WDOLoYuONPL2-xL4TwFfy8MHsM4vc4fgd7dNLo493dBcAyYJdFF9LxLoB2NG1s1I8TKHenN5XGNRaJ0Ti8ymznSWpaK6yxBh8anZ-qHSLi5K-5EdrHcG1eBqnd0lazzdzaKWbZFo-qRh45xx8IdBVTsYLQ-j4SgxQoq8CKxW9WlC9wScAMTr2mkTf3g60Qvbv0cqR7pM0~npxY5KuQNBZX0AwrJKHHO90zw__,10,0,,90647,NP
https://www.newsnationnow.com/the-donlon-report/full-episodes-the-donlon-report/bidens-meeting-with-putin-finding-leadership-in-america-and-a-ceo-fires-900-workers-over-zoom/?utm_medium=referral&utm_source=facebook.com&utm_campaign=socialflow,21,0.23,246018,412515,NP
https://www.the74million.org/article/not-every-student-from-latin-america-speaks-spanish-how-educators-can-recognize-and-meet-the-needs-of-indigenous-speaking-students/,17,0.13,64023,76535,NP
https://www.hm.com.cn/en_cn/sale/ladies/view-all.html?size=24&sort=ascPrice,31,0.31,1476708,1226350,NP
https://www.healthywage.com/healthywager/?utm_source=facebook&utm_medium=sm&utm_campaign=fb-op_dec7_2021,27,0.23,,136429,NP
https://pay.instamed.com/Form/PaymentPortal/DualLoginAndSignUp?id=ROTECH&providerselected=true&Email=MATTHEWGAST%40ME.COM,35,0.33,,150022,NP
https://agenciairza.com/libera-la-federacion-750-mdp-a-guerrero-para-saldar-los-compromisos-de-fin-de-ano/,15,0.13,82240,119803,NP
https://www.comecso.com/convocatorias/doctorado-en-ciencias-sociales-y-humanisticas,9,0.13,107892,108720,NP
https://short.katflys.com/d/AV9k,39,0.32,85442,92263,NP
https://lightroom.adobe.com/shares/5a67e119b9b34b948e46258f882ede31,0,0,0,537579,NP
https://www.aislacoat.com/pages/ahorra,20,0.16,57104,61490,NP
https://verified.capitalone.com/r2v/tap-verification/?token=bGlua0V4cGlyeVRpbWVzdGFtcD0yMDIxLTEyLTA4VDAyOjE3OjUwWnxwcmVmZXJyZWRMYW5ndWFnZT1udWxsfHZlcmlmaWNhdGlvbklkPTE5ZWRhOGU5LTQyYjMtNGM1ZC1hM2JmLTgwYWMzMTQ3NjlhMHxCdXNpbmVzc1VuaXQ9VFRWX1dBTE1BUlRfQ09NfENvcHlUeXBlPVRUVnxNb2RlbFR5cGU9QVBQTFlBTkRCVVl8YXV0aFR5cGU9VFRWfGNoYW5uZWw9bW9iaWxlfGNjaWQ9Y2t3d3cxejhzMGQxZzJwcW4zcWtmOHl2eA%3D%3D,0,0,0,48276,NP
https://edwardslawfirm.com/seminars/estate-planning-workshop-wills-trusts-nursing-home-asset-protection-36/#utm_source=google&utm_medium=workshops&utm_campaign=workshops&utm_id=Google,15,0.15,63553,66461,NP
https://www.fairytops.com/collections/faith?sort_by=jesus-has-my-back-blessed-cross-heart-sweatshirt-2&q=dfsfsfsfsf&utm_source=facebook&utm_medium=01,16,0.09,,292627,NP
https://coachparaempresarias.com/que-te-impide-lograr-lo-que-quieres/,20,0.21,,315302,NP
https://www.homerunportal.com/users/login?redirect=%2Fprojects%2Faddress-eligibility%2F7a07e497-86bc-4317-9a38-15e26e2d5c3a,34,0.26,,28748,NP
https://www.madison-reed.com/blog/what-are-hot-roots-anyway?utm_source=Facebook&utm_campaign=MRblog&utm_medium=directlink,28,0.28,451796,639801,NP
http://uploaded.net/file/8nijflq8/A%20-%201001283.rar,27,0.29,19915,22504,NP
http://cloud.maisrico.com.vc/redirectcentral?qs=2945d254fa9c9bf95c435b4d2778c8db3e245efaac39d55994b478265cd6238feff92abb4e324731,41,0.35,31282,29976,C
https://asepabenkie.blogspot.com/olympic.php?live=2021+British+Para+Swimming+Winter+National+Meet,15,0,,26598,NP
https://luvmov.com/v/ph5c63c681d1b4c12/,22,0.21,81921,79401,NP
