url,ursula_score,vision_score,ursula_size,vision_size,manual
https://cloud.e-news.chanel.com/sms_unsubscribe_tha?ID=0032v00003mQgpcAAC&MarketDivision=THA+-+FBP,68,0.27,,10388,NP
https://cash-app-fre.blogspot.com/,75,0,59793,59093,P
http://bb70-182-185-183-201.ngrok.io/,70,0,14492,14492,P
http://lpdweb.cz/whaleboned/ketupa_rattlebrain.html?kv=d95yx,65,0.62,222518,222518,P
http://blog.krypu.eu/wp-content/themes/car-repair/tinymce/inc/php/affreightment/nonchalantly_chalicotherioid.html,65,0.62,222518,222518,P
https://jambisakai.000webhostapp.com/cmosts.html,98,0.98,,14234,P
https://mjaymu9jdg9izxixotewdgg.filesusr.com/html/c69417_3069841d505568614ed8bca153fc7adf.html?*Z2lsMTIzNDU2Nzg5Kmh0dHBzOi8vYml0Lmx5LzN1VlcxSVkqKmVzKg==*,96,0.97,,59331,P
https://elrvia-globalviarurals-9aaad4.ingress-baronn.easywp.com/carlmvestra/,67,0.59,96653,96653,P
http://forclaiminhere-rc.ga/,82,0.85,56854,56854,P
http://nfix.manageyouraccount-2021.com/login,89,0.1,6572,10113,P
https://dikdem23.000webhostapp.com/login.html,97,0.03,149927,25099,P
https://user-verify5th.duckdns.org/login?auth,90,0.89,2871,2871,P
http://zhishinet.icu/wp-content/themes/zakra/Sauroctonos/synclinical_parachronism.html?hy=ig5n,65,0.62,222518,222518,P
https://85d3-138-36-242-81.ngrok.io/,70,0,14445,165,D
https://pubg-mobile.me/2022/link5/?id=608546915,69,0.77,11518,11518,P
https://path-stationery-brussels-encryption.trycloudflare.com/login.html,98,0,143995,39,D
http://goldcountrycalifornia.com/.well-known/pki-validation/Coccolobis/thomsonite_unaddable.html?seia=a29mmz2,65,0.62,222518,222518,P
http://switzfarm.com/syndrome/thallophyte_immortalship.html?sxu=zcarnvd,65,0.62,222518,222518,P
https://dmerpvcozz.weebly.com/,85,0.85,31709,31711,P
http://u1544400.plsk.regruhosting.ru/ni5omO156NyKjS9/index.php,68,0.44,26797,26797,P
http://suspended-website.com/index.php?host=ruanganlantai12a.epizy.com,70,0.9,1024,1024,P
http://mlbbreedemcodem3.ga/mobile-legends/,73,0.83,61182,61183,P
https://eclipse-moving-fantasy-cologne.trycloudflare.com/login.html,97,0.99,745692,745692,P
https://eduscavenger.com/find-tumblr-user-with-their-email.html,65,0.71,7521,7521,P
http://free-robuxgenerator.rf.gd/,71,0.91,,1024,P
https://awesome-gas-refine-sbjct.trycloudflare.com/login.html,81,0,89025,39,D
https://servi-cing.com/,76,0.74,18301,18301,P
https://nbge.weebly.com/260322998320818325923895720445219342144332771.html?fbclid=IwAR21uymIHLODPT8jz4onL6JiJ3g2RqjK8rf22KVPjyxpiyLnk8vg8IlOu18&utm_source=FB,68,0.57,36377,36366,C
https://mercawisemexico.filesusr.com/html/d0b5a5_aeba43805e1cafffb8215a5b852f22df.html?ODQyNDEwNg==*QmVsbG9tb3F1aXRvQGdtYWlsLmNvbQ==*aHR0cHM6Ly93d3cubWVyY2F3aXNlLmNvbS9lc3R1ZGlvcy1kZS1tZXJjYWRvLWVuLW1leGljby9lc3R1ZGlvLWRlLW1lcmNhZG8tc29icmUtY29tcHJhcy1vbmxpbmUtZW4tbWV4aWNv**RmFjZWJvb2s=,97,0,,113,D
https://mjaymu9jdg9izxixntv0aa.filesusr.com/html/c69417_3069841d505568614ed8bca153fc7adf.html?*am9mZWxwaGEzMDAqaHR0cHM6Ly93ZWIuZmFjZWJvb2suY29tLypnbWFpbEBnbWFpbC5jb20qZXMq*,97,0.97,59367,59367,P
http://faceboook-com-rizza-frias.freevar.com/,80,0.78,61884,61884,P
https://seriously-season-yield-opens.trycloudflare.com/login.html,81,0,89025,39,D
https://mr-ceo-served-consequences.trycloudflare.com/login.html,69,0,,39,D
https://matribon.com/,95,0.9,,7215,P
https://earl-households-autumn-seminars.trycloudflare.com/login.html,98,0,143995,39,P
http://2146-140-213-214-215.ngrok.io/,70,0,14455,167,P
https://qc-desk.weebly.com/,76,0.79,33139,33128,P
https://freepsngiftscards.blogspot.com/,77,0,57566,57470,P
http://concursomascotas2021.000webhostapp.com/,80,0.02,94490,28667,P
http://proveivity.shop/exemption/untusked_pneumolithiasis.html?cay=4tz165fg,65,0.62,222518,222518,P
http://753a-119-73-124-179.ngrok.io/login.html,69,0,2375,2375,P
http://www.ortoline.com.br/Cixiidae/spiraled_depicter.html?eqbl=zhc12kzy,65,0.62,222518,222518,P
https://td.intelliresponse.com/cbaw/index.jsp?requestType=NormalRequest&source=100&id=227&question=How+do+I+order+cheques+in+EasyWeb,67,0.49,38697,38693,NP
https://hiring-owns-missouri-means.trycloudflare.com/login.html,97,0,745692,39,P
https://fortnitrcoinss.blogspot.com/,69,0,67172,67173,P
https://papasito-com.filesusr.com/html/972738_f28bbd0e83e4293d4d64a235a3c1ed44.html?ODAwMzg=*cGhvdG9zQGdtYWlsLmNvbQ==*aHR0cHM6Ly93d3cuZmFjZWJvb2suY29t**UGFwYXNpdG8=*RmFjZWJvb2sgRXNwYcOxb2w=*,96,0,,113,P
https://findics.com/WhatsApp/unblock-WhatsApp-account.html,65,0.59,7864,7864,P
https://cloud.younetco.com/store/public/store/share/product/id_product/23471/id_page/182194851979387,68,0,64133,66505,P
https://gamingsurfx.com/?8d92d91,68,0.58,58108,58161,P
https://storage.googleapis.com/a029-198ee.appspot.com/hjmnhgbfvdcs.html,65,0,1456,1456,P
https://minimedicalschool.com/alaska/index.php,94,0.99,76531,76531,P
http://about.privado.com/justifiably/broose_Pleurococcus.html?rur=nnz4lzzs,65,0.62,222518,222518,P
https://y7ccacgtfaf4c9ye.filesusr.com/html/937e91_bd9d8bda1520aae738a8ba0ff8ad2986.html?ODc1ODY3*YW5qZWxpdG9fcGFyYXRpQGhvdG1haWwuY29t*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5mYWNlYm9vay5jb20=**eTdDQ0FjZ1RmQWY0YzlZZQ==*RmFjZWJvb2sgRXNwYcOxb2w=*,96,0.98,,153582,P
