url,ursula_score,vision_score,ursula_size,vision_size,manual
https://www.dealernews.com/Home/post/dirt-buzz-with-matt-musgrove/2021-12-08,21,0,,39,NP
http://parking.zoomansa.com/client/parkingStepParking.jsp?tranUID=157278&type=,28,0.25,,8027,NP
https://shopee.co.th/Spring-Green-Evolution-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%8B%E0%B8%B5%E0%B8%A5%E0%B8%AA%E0%B8%B9%E0%B8%8D%E0%B8%8D%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8-VC-ECO-Gen2-%E0%B9%83%E0%B8%8A%E0%B9%89%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%9A%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%AA%E0%B8%B9%E0%B8%8D%E0%B8%8D%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%9A-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B9%84%E0%B8%97%E0%B8%A2-i.252372088.6041376136?sp_atk=6368232b-b45f-40c3-bd17-fee485701981%3Futm_source%3Dyoutube&utm_campaign=20211209-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B9%82%E0%B8%AD%E0%B9%8B-VCECO-gen2&utm_content=%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B9%82%E0%B8%AD%E0%B9%8B%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7+VCECO-gen2+Shopee+link&utm_medium=affiliate&utm_term=,38,0.35,,428475,NP
https://www.mylifetime.com/shows/kim-of-queens/season-1,25,0.28,55302,159128,NP
https://farm5.staticflickr.com/4420/36971612081_a227c946cf_m.jpg,0,0,0,82,NP
https://www.teepublic.com/t-shirt/597410-v-8-interceptor-service-and-repair?feed_sku=597410D1V&utm_source=facebook_instagram&utm_medium=paid_social&utm_campaign=[FI]_[web]_[g.USA]_[l.eng]_[gen]_[Bid+Cap]_DPA_NonSale&utm_content=[C.6233937710286]+[AG.6252389073486]+[AD.6252389147686]&utm_id=6091f6dba401d2350c6af448&fbclid=PAAaaoTm5D0498Z49MQmE79IRNhzEWqdJWgb_yAAyBNPbv8FUeEj0VGGynlCg,30,0.36,778310,816663,NP
https://www.alibaba.com/product-detail/2021-professional-Head-and-Neck-Massager_1600316623736.html?spm=a2700.galleryofferlist.normal_offer.d_title.34ba5522h6ITBw,0,0,0,253804,NP
https://soundcloud.com/besvendsen,0,0,0,332914,NP
https://cloud.ielove.jp/crm/landingpage/bkndetail/a/kacEd3bLOh4./b/HULjGJoBse--cbj3TZ37Wasvzj-0vI7d/c/f3JVrSIFfvg./d/GKjiPPDwa64.,17,0.15,49417,50312,NP
https://chliving.com.tw/zh-tw/collection/run_list?cid=15&bid=1&utm_source=FBpost&utm_campaign=2021.09_彩胤傢飾_KOINOR+EDDIE&utm_id=Facebook,14,0.1,28881,39019,NP
https://techtribals.com/sbi-recruitment-2021-1226-cbo-post/?utm_source=whatsapp&utm_medium=social&utm_campaign=techtribals,12,0.2,52268,83138,NP
https://marketingtechnews.net/write-for-us/,28,0.23,123269,147287,NP
https://darkmoneyhk.com/saving-comparison/%E4%BF%9D%E5%96%AE%E8%9E%8D%E8%B3%875%E5%88%86%E9%90%98%E4%BA%86%E8%A7%A3%E4%BF%9D%E5%96%AE%E8%9E%8D%E8%B3%87%E5%9F%BA%E7%A4%8E%E6%95%99%E5%AD%B8/,13,0.13,285714,287836,NP
https://starpedia.ro/prizoniera-destinului-episodul-1-rezumat/,14,0,144465,39,NP
http://www.nhk.or.jp/matsue-ana-blog/230/273765.html,0,0,0,105616,NP
https://www.anthropologie.com/order/AN08309955/?customerZipCode=90026,39,0.34,,271152,NP
https://winning168.com/%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A5-%E0%B8%A2%E0%B8%B9%E0%B9%82%E0%B8%A3%E0%B8%9B%E0%B9%89%E0%B8%B2-%E0%B8%A5%E0%B8%B5-111/,14,0.13,71486,85704,NP
https://elpais.com/babelia/2021-12-09/john-coplans-varias-vidas-en-un-cuerpo.html,0,0,0,405635,NP
https://xxx-porn-vip.com/porn/videoxheg2mh13/,16,0.14,79501,79154,NP
https://www.visitrenotahoe.com/renotahoe/,10,0.19,101772,133944,NP
https://www.androidcentral.com/google-foldable-phone-samsung,23,0.32,159433,334584,NP
https://www.earnestfarm.com.tw/tw/index.asp?au_id=51&sub_id=54,33,0.33,72366,66826,NP
https://board.fresnounified.org/agendas/,15,0.13,207755,94967,NP
https://bitcoinvegan.onlinesalespro.com/FromBarsToBitcoin,32,0.3,11413,11521,NP
https://signup.geneco.sg/Home/Mv?cc=cf95a239-a358-ec11-8f8f-000d3ac9450d,12,0.21,,22253,NP
https://wphive.com/reviews/best-wordpress-lms-plugins/,21,0.19,111292,154968,NP
https://wbskin.com/product/detail.html?product_no=1216&cate_no=54&display_group=1,35,0.26,,167136,NP
https://dumas.ccsd.cnrs.fr/dumas-00357937/fr/,28,0.3,47581,84896,NP
https://viewer-staging.autodesk.com/id/dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6aW5zdGFudHZpZXdlcnN0YWdpbmcyL3Q2Mzc3NDYxODk5MjIzMTczNjRfY2ZjMzA5ZDgtODkyYy00ZGQzLWI5OGEtZDMwOTY5OTM1YTdmLmR3Zg?openComment=true&commentId=dXJuOmFkc2suY29tbWVudHM6c29jaWFsLmNvbW1lbnQ6NzEzOTExZWMzNDUzNGYzODgyNTBmZDFjZTEyMDdhOWE,0,0,0,17817,NP
https://wiki.teamfortress.com/w/?diff=3085166&oldid=2847522&title=Engineer+Update,14,0.17,,166401,NP
https://intaxnews.wpcomstaging.com/2021/12/09/worldtax18/,7,0.11,69191,86031,NP
https://mcn9rgsdhv7hvg2ybjgd8-fkwt88.pub.sfmc-content.com/djbfmvvx3zb?qs=9530fb52d79c484371f72740b419dbb265896d00ade187e7068633c460c64c9ea32ab018e6277732d6d3e73444404153611b4b5f5b525ad789bb1a907ea499aa,31,0.33,43720,35864,NP
http://sorry.centurylink.com/,40,0.3,,203739,NP
https://play.google.com/store/apps/details?id=com.pnlsm.presensipbm,0,0,0,878459,NP
https://electronics.sony.com/xperia-mobile-gaming?cid=sco-gl-codm2021-esports,0,0,0,696899,NP
https://wallpaperable.tumblr.com/post/670060735430361088/single-shot-taken-last-year-in-the-mojave-national#_=_,0,0,0,114864,NP
https://serialhd2019.ru/igra-prestolov-8-sezon?2-seriya-23-seriya,39,0.36,295507,314627,NP
https://nabjonline.org/blog/nabj-announces-bryan-monroe-memorial-scholarship-program/,15,0.14,168666,275216,NP
https://www.amazon.it/stores/TONOR/page/59B0718D-E19E-4BD9-9DE8-E4ECD739316D?ref_=ast_bln/IT14,40,0.3,,210583,NP
https://www.saladplate.com/blog/industry-news-hong-kong-s-famed-woo-cheong-pawn-shop-to-reopen-after-revamp/?utm_source=facebook_feed&utm_medium=sharelink&utm_campaign=211209_blog,36,0.35,,1061826,NP
https://www.intel.com/content/www/us/en/security-center/bug-bounty-program.html?utm_source=twitter&utm_medium=social&CID=iosm&icid=100002742846868%257C&linkId=100000092950001,0,0,0,232338,NP
https://hcis.bankaltimtara.co.id/myHC/login.php?url=http%3A%2F%2Fhcis.bankaltimtara.co.id%2Fhcis-client%2Findex.php%3Fnav%3Dservices%26mod%3Dnkpp_approval%26act%3Dedit%26Type%3D2%26c%3D64856,31,0.33,,3533,NP
https://dr7me.app.link/pAOTfxCYPlb,17,0.31,,16505,NP
https://shelaanggraini17.blogspot.com/,8,0,,104201,NP
https://www.taian.com.tw/Vehicle?utm_source=TAIAN&utm_medium=FB_CARS&utm_campaign=POST_BY_20200129,38,0.34,165285,151762,NP
