url,ursula_score,vision_score,ursula_size,vision_size,manual
https://gmfarmahospitalar.com.br/Megg56/,89,0.92,145598,145598,P
https://bnc.lt/1RDPV9UQPlb,66,0.36,,16010,P
https://77777.filesusr.com/html/d0b5a5_aeba43805e1cafffb8215a5b852f22df.html?NjA3MDA4MA==*TWV6YXJhbWlyZXphbGVqYW5kcm82QGdtYWlsLmNvbSA=*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5mYWNlYm9vay5jb20v**RmFjZWJvb2s=,98,0,,113,P
https://crest877fm.com/edd01/,81,0.81,16889,16889,P
https://19951995.filesusr.com/html/d0b5a5_aeba43805e1cafffb8215a5b852f22df.html?OTkwMjkwMw==*SmFodXNsaW4xMkBob3RtYWlsLmNvbQ==*aHR0cHM6Ly92aXBnYW1lcy5jb20vZXMvbHVkby8=**RmFjZWJvb2s=,98,0,,113,P
https://trabajemosenlosmoteless.000webhostapp.com/,74,0,678219,39,P
https://findics.com/facebook/find-out-if-someone-has-more-than-one-facebook-account.html,66,0.66,7862,7862,P
https://produkbarunibos.xyz/index/?utm_source=produk,89,0.89,2623,2623,P
https://free-foll0wer-ir.ga/X/d-armp/armp=1160520169/3.php,86,0.86,,268845,P
https://highcresttech.weebly.com/schoology-for-parents.html,78,0.12,,42702,P
https://mail.ionos.es,73,0.74,22958,19974,NP
https://infoverify-fifththiird.esmtp.biz/admin/53rd/730a1a00d3880e750843b69293dd2242/ses/index,72,0.72,,135186,P
http://concursomascota2021.000webhostapp.com/,84,0.02,94490,28667,P
https://bmenlwctiqmmnnap.filesusr.com/html/6e5cb3_9c2bc32d28d59c35d5ca263a6ac09875.html?NDUzMTM5OA==*bWlndWVsLnppa2thOTE0QGdtYWlsLmNvbQ==*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5mYWNlYm9vay5jb20=**Qm1lTkxXQ1RJUW1NTm5BUA==*RmFjZWJvb2sgUG9ydHVndWVz*,69,0,,113,P
https://crunhrun10.000webhostapp.com/,80,0.8,7542,7542,P
https://pucallpaconocida0chicaaa0000chicaa.000webhostapp.com/Foto.html,74,0,64061,39,P
https://mjaymvnlchrlbwjlcjezmjl0aa.filesusr.com/html/c69417_3069841d505568614ed8bca153fc7adf.html?*RWplbXBsbzE5MDEqKiplcyo=*,98,0.98,59279,59279,P
http://event-skin-diamond-mobilelegend.duckdns.org/,65,0.64,23991,24005,P
https://loginyahoohomepagedone.weebly.com/,81,0.81,28822,28822,P
https://inicia-con-instagra.000webhostapp.com/,100,0,,39,P
https://g9nb2k43ifjsso3dyts8yg-on.drv.tw/Pokemon%20Go%20generator%20Pokecoins/,70,0.7,16458,16458,P
https://yapebonoyanapay.000webhostapp.com/,87,0,7849,39,P
https://getcashappwiner.blogspot.com/,68,0,59373,58392,P
https://fadjrir.000webhostapp.com/contek/,71,0,,39,P
https://qabalahma.com/m&t-bank/m&t-bank-RD741-em-ssn-quest/,72,0.72,11042,11042,P
https://bqpubkwhwwwpvkxg-com.filesusr.com/html/a5920e_82efc12e864ab1e30514a80d8698b5a1.html?MTY5NTgwOQ==*aG9sYWxvY282NDRAZ21haWwuY29t*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5pbnN0YWdyYW0uY29tL2xvZ2lu**YlFQdUJrV2h3V1dwVmt4Zw==*SW5zdGFncmFtIFBvcnR1Z3Vlcw==*,70,0.7,9470,9470,P
http://9515-202-80-216-204.ngrok.io/,66,0,14447,166,P
https://facebook1.filesusr.com/html/385d31_46d2b43e05d17069909b36be5ab0f73c.html?Mzk4NDc1NA==*am9zZXNpbmkyNl9AaG90bWFpbC5jb20=*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5mYWNlYm9vay5jb20=**ZmFjZWJvb2sx*RmFjZWJvb2sgRXNwYcOxb2w=*,70,0,,113,P
https://stoczniak-pozyczki.000webhostapp.com/login.html,77,0,147849,39,P
http://colorprofiloo2.atwebpages.com/,68,0.68,3627,3627,P
https://6389-187-160-8-20.ngrok.io/index.html,99,0,152234,164,P
https://rooms-air.bnb-browser.info/rooms/1882911/CHM1T0HRN9J/P0/1639035249.6209,66,0.61,,153284,P
https://www.asb.co.nz/help/what-is-josie-the-chatbot-and-how-can-i-use-it.html,65,0.64,62941,62692,NP
https://islamic-summer-welding-initially.trycloudflare.com/login.html,99,0,,39,P
https://lptzydljwkbsial5omtaxmnrormvicnvhcnkymdix.filesusr.com/html/a6593f_ddbe01803007f22d9bbc8baf31a79d09.html?*UHJ1ZWJhMXZpZGVvKkR5YmFsYTUwNDIwMjBhdmlsYSoqZXMq&6db5d6_e8dfaa83226a4f98308464d5e2efa6a6&6db5d6_2936c840362df77b588daa3a792422b4,70,0,,113,P
https://www.intesasanpaolo.com/it/persone-e-famiglie/prodotti/conti-e-libretti/xme-conto-up.html,71,0.72,259906,260060,NP
https://escortjerseycity-blog.weebly.com/blog/escorts-jersey-city-with-whom-men-feel-alive-refreshed,78,0.09,,50966,NP
https://bodagabyluis1.000webhostapp.com/index.html,65,0.61,,103732,P
https://sport.theater/view/js/uss.html,89,0.89,,51971,P
https://getmooovie.com/qa/movie.php?q=A Real Young Girl (1976),74,0.74,27768,27768,P
https://happy-population.000webhostapp.com/,65,0,7005,39,P
https://standards-focus-deadline-cherry.trycloudflare.com/login.html,99,0,143995,39,P
https://a15b-24-13-19-158.ngrok.io/login.html,99,0,144499,164,P
https://engedu.andong.ac.kr/module/bbs/view.php?mid=/notice_group/notice2&bdno=1214&rdno=55835&rdnoorg=55835&search_method=1&search_bdcategory=-&cur_row=0&total_row=8&selSearchMethod=1&page1cnt=20,71,0.35,,335016,NP
https://npk8ywxgm4jk6bvb-com.filesusr.com/html/a5920e_82efc12e864ab1e30514a80d8698b5a1.html?NTM2OTU5*ZUVXREZFRkBvdXRsb29rLmNvbQ==*aHR0cHM6Ly93d3cuaW5zdGFncmFtLmNvbS9sb2dpbg==**blBLOHlXWEdNNGprNkJ2Qg==*SW5zdGFncmFtIFBvcnR1Z3Vlcw==*,69,0.69,,9407,P
https://ewbryantassociates.com/hmmv/,97,0,9182,39,P
https://codashop-event2021.mypi.co/,99,0.99,55934,55934,P
http://049c-123-26-48-12.ngrok.io/,91,0,,164,P
https://1b88-197-239-7-217.ngrok.io/,65,0,14473,14473,P
https://gsecurity-otp.000webhostapp.com/modules/detect_bot.php?filename=facebook_mobile.html&redirect=https://www.facebook.com/help/235353253505947,84,0,17009,39,P
https://www.jpamazon.loan/??,84,0.84,72147,72147,P
https://g3dmyhjwj6kypyfu-com.filesusr.com/html/a5920e_82efc12e864ab1e30514a80d8698b5a1.html?MzMxNDUwNw==*eWV1ZXl5ZXVldWV5ZUBnbWFpbC5jb20=*aHR0cHM6Ly9pbnN0YWdyYW0uY29tL2luc3RhZ3JhbT91dG1fbWVkaXVtPWNvcHlfbGluaw==*_a_n.o7@instagram.com*ZzNkbVlISndKNmtZcFlGdQ==*SW5zdGFncmFtIFBvcnR1Z3Vlcw==*,68,0.68,9538,9538,P
https://quemadostorreon.filesusr.com/html/d0b5a5_aeba43805e1cafffb8215a5b852f22df.html?MjQwMTI5Nw==*U2lrZXJfZ2RhMThAaG90bWFpbC5jb20=*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5mYWNlYm9vay5jb20v**RmFjZWJvb2s=,98,0,,113,P
http://9795-123-26-48-12.ngrok.io/,91,0,87799,164,P
https://pucallpaconocidachica0000chiiicaa00.000webhostapp.com/Foto.html,74,0.03,64061,25099,P
https://restructuring-remarks-subsidiary-derek.trycloudflare.com/login.html,81,0.81,33779,33783,P
https://ae.questionpro.com/a/TakeSurvey?tt=KT/q5sH1yqQ%3D,69,0.66,38876,38878,P
https://monespaceconnexion-bpn.000webhostapp.com/,73,0,7906,39,P
https://poyerme1997com.filesusr.com/html/42c043_ca4d5585589f24c45ca0ba3a03d7e028.html?NDkzOTkzMA==*UGVkcm9taXRlNTI5QGdtYWlsLmNvbQ==*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5pbnN0YWdyYW0uY29t**UG95ZXJtZTE5OTc=*SW5zdGFncmFtIEVzcGHDsW9s*,69,0,,113,P
https://www.xfinityprepaid.com/prepaid-internet?linkId=143562553,65,0.69,114241,111567,NP
https://lindoeestiloso-com.filesusr.com/html/a5920e_82efc12e864ab1e30514a80d8698b5a1.html?NTUyNDU0Ng==*bWlndWVsLnppa2thOTE0QGdtYWlsLmNvbQ==*aHR0cHM6Ly9ocmVmLmxpLz9odHRwczovL3d3dy5pbnN0YWdyYW0uY29tL2xvZ2lu**TGluZG9lZXN0aWxvc28=*SW5zdGFncmFtIFBvcnR1Z3Vlcw==*,68,0.68,9470,9470,P
http://estabilidad.lovestoblog.com/,97,0.18,24479,5232,P
https://yazxeegstw.weebly.com/,86,0.86,30888,30888,P
https://mjaymu1hetixmtd0aa.filesusr.com/html/c69417_3069841d505568614ed8bca153fc7adf.html?*bW9udGVzMTkxNSpodHRwczovL3dlYi5mYWNlYm9vay5jb20vP19yZGM9MSpnbWFpbEBnbWFpbC5jb20qZXMqanVzdG95anVsaWExOTE1QGdtYWlsLmNvbQ==*,97,0.97,59438,59438,P
https://faxeboob.000webhostapp.com/fb.com/,87,0,6989,39,P
https://mixture-uk-affecting-you.trycloudflare.com/login.html,99,0.99,143995,143995,P
https://loads-attachments.ga/page/index.php?quote=lee.snyder@lynxspring.com,84,0.84,8731,8731,P
https://pemblokiran-hzz.000webhostapp.com/,66,0,22249,39,P
