url,ursula_score,vision_score,ursula_size,vision_size,manual
https://tvtonight.com.au/2021/11/amc-launches-in-australia.html,14,0.2,419633,413761,NP
https://www.patreon.com/posts/48436856,0,0,0,97328,NP
https://www.pinterest.com/pin/222576406576035241/,0,0,0,230489,NP
http://careeropportunities.co.za/eastern-cape-ministry-of-social-development-internships-2021-2022/,14,0.18,83049,144312,NP
https://www.hardrockstadium.com/need-parking-transportation/?fevoUri=parking-ravens-vs-dolphins-awt2p6n-b63be93/confirm/Q9OYAA3K&utm_campaign=need-parking&utm_medium=email&utm_source=game-week-bills,6,0.1,,88917,NP
https://www.careline.com.tw/CareLinePet/Pet/?utm_source=fb_cpa&utm_medium=pet&utm_campaign=winter,13,0.19,178911,196171,NP
https://stroi.mos.ru/news/moskva-izbavilas-ot-388-dolghostroiev-za-shiest-liet?from=cl,22,0.23,58563,55071,NP
https://www.etsy.com/listing/871744662/marijuana-alien-growing-weed-plants,0,0,0,781547,NP
https://www.haytalk.com/forums/uploads/monthly_09_2017/post-37402-0-60804800-1504556718_thumb.jpg,30,0.25,38216,39409,NP
https://www.rummycircle.com/baf.html?utm_medium=baf_whatsapp&refId=12819336&refCode=DNYA0985&baf_promo_code=BAFTest500&cid=3,36,0.3,,55346,NP
https://ascii.jp/elem/000/004/073/4073826/?rss,13,0.2,46803,58358,NP
https://www.enterprise.ca/en/deeplink.html?token=ZxktnAdKVU4yMDIw--NdRhYN4JdnvpWY976CE8ZGXhDTeVlDZCt_bjJbI11zvqMCXepAd4r4Qf3tO__Ge36GrWEtG9JW1JMMS0GHODDqf5lPJiWcL2EqoqUH50LjPiYZJpYxAkck9ALE2N4BcPXdlmmkEKHo_vIOirYj8JGhcpfU84QyA5zA5dUHrs8vawKuCGwTd743-qbcacHNjdJ_Y79_Yk2CebDeRA1a6qWvVdFG5bdnv-6fO39_fHiZxGf0-y8nkEggjxmjuuBTOO_0Sff2BeUK6iP0WAJ1FCBjLNVwVQ_5icOFtGLnnCG4b7BA1kX3IklGjduTv760c1wehdnon0A7YdGZlfadcpVKYdXLQbWnDPNyksuiAbIe6iHDGx8&mcid=sms:ltnt,35,0.24,,288960,NP
https://ici.radio-canada.ca/nouvelle/1838338/coderre-defaite-montreal-parizeau-elections-hadrien,28,0.37,474951,468158,NP
https://q6c6y.app.link/PHzSNT731kb,8,0.36,,19181,NP
https://www.bakersfield.com/ap/news/gcanrx-announces-initiation-of-preclinical-study-for-neuropsychiatric-cannabinoid-therapy/article_79a755d4-9721-516b-9542-e243258dd275.html,24,0.24,248665,364360,NP
https://www.joongang.co.kr/article/24164336,23,0.25,64645,64523,NP
https://w2lc9.app.link/zwxnrXd41kb,8,0.38,,14267,NP
https://pergear.co.jp/products/7artisans-18mm-f6-3-%E8%B6%85%E8%96%84%E5%9E%8B%E5%9B%BA%E5%AE%9A%E7%84%A6%E7%82%B9%E3%83%93%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88%E3%83%AC%E3%83%B3%E3%82%BA,19,0.17,,319911,NP
https://www.surveygizmo.com/s3/4805033/7cea9dc113e1?mobile=00966559468888&store=J18&reference=1-9158322218,0,0,0,59045,NP
https://www.nytimes.com/2017/01/09/travel/airlines-carry-on-baggage-rules.html,0,0,0,416325,NP
https://teechip.com/bulldog-ladies-3,15,0.27,,635099,NP
https://www3.nhk.or.jp/news/html/20211109/k10013340211000.html,0,0,0,161029,NP
https://www.2controlaccountants.nl/?im_id=47455,14,0.18,64648,64359,NP
https://smiledirectclub.co.uk/en-gb/checkout/?w=impr&discount=SMSSMILES&utm_source=SFMC&utm_medium=sms&utm_campaign=tof_klead_day12_track2_uk&utm_content=2021-11-09&utm_term=a0f1deb7-bc67-4cfb-b8a8-b9f2f7612f9a&token=,24,0.4,,287432,NP
https://pmimsa.eu.qualtrics.com/jfe/form/SV_29t5gNqsS1TfQrj?U_COU=RO&Q_Language=RO&U_PER=8297974.172060&U_CHA=c5Km&U_TOU=t6Bc&U_HUD=CallCenterService&U_DAT=20211108&U_CCG=ccg5Km&U_CCR=MS&U_CCC=cc1Ab&U_CCI=1591750&U_CCS=R0014.2&U_CCA=543069,0,0,0,145667,NP
https://offer.wynn-redcard.com/PatronOffer/Validation/51549836/30C1778642A506DBD803A0FA5ECE533E/TC,13,0.19,,6707,NP
https://www.alaraby.co.uk/entertainment_media/%D8%AA%D8%AF%D9%87%D9%88%D8%B1-%D8%A7%D9%84%D8%AD%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D8%B5%D8%AD%D9%8A%D8%A9-%D9%84%D9%84%D9%81%D9%86%D8%A7%D9%86-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D8%A3%D8%AD%D9%85%D8%AF-%D8%AE%D9%84%D9%8A%D9%84,27,0.29,92333,162071,NP
https://z8xjh.app.link/3igELbxpQkb,33,0.36,,20374,NP
https://www.newsbharati.com/Encyc/2021/11/9/Beijing-to-skip-India-s-upcoming-NSA-meeting-on-Afghanistan.html,21,0.28,,104561,NP
https://www.leumi.co.il/dl/19?param1=0032400000Gn2EfAAJ&param2=950056056&param3=24&channel=sms,16,0.12,,4729,NP
https://de.indeed.com/Jobs?q=Unterkunft+Wird+Gestellt&start=20&vjk=aed606dbb9c91420,0,0,0,769583,NP
https://jobs.elaniin.com/careers/qa-engineer?utm_source=facebook&utm_medium=social&utm_campaign=monthlyhiring&utm_term=qa,25,0.25,1211128,1215440,NP
https://www.jmp.com/ja_jp/medical-statistics/column/non-series/roc-curve.html?utm_source=FBPAGE&utm_medium=social_sprinklr&utm_content=3273776733&utm_campaign=ot&linkId=86417044,22,0.33,121663,124259,NP
https://cafe.naver.com/dakchi/2536168?source=mainbanner,0,0,0,76257,NP
https://hxfile.co/embed-d5mcxij0zfpz.html,38,0.34,,251622,C
https://www.cnbc.com/2021/06/10/bitcoin-btc-price-jumps-after-el-salvador-adopts-it-as-legal-tender.html?utm_content=Crypto&utm_medium=Social&utm_source=Facebook#Echobox=1623323685-1,0,0,0,911522,NP
https://www.amazon.co.uk/All-new-Kindle-Paperwhite-waterproof-special/dp/B0774JQ258/ref=zg_bs_electronics_25/259-9572123-0735802?_encoding=UTF8&psc=1&refRID=41J4KXRRSAB51F2RA1E1,0,0,0,1304247,NP
https://www.delybazar.com/cust-feedback/ODDB-081121-338722,20,0.23,3864,3778,NP
https://fi5wt.app.link/BkDUYIyp2kb,8,0.31,900,16501,NP
https://www.mylondon.news/news/east-london-news/royal-docks-just-new-floating-21772302,23,0.24,260386,601333,NP
https://winchestercollector.org/forum/general-discussions-questions/discontinuation-of-widows-peak-hammers/page-3/#p113477,21,0.21,146905,161559,NP
https://www.forbes.com/sites/annlatham/2015/09/21/97-of-agendas-are-recipes-for-wasting-time-are-yours/,0,0,0,631110,NP
https://www.amazon.in/Amazon-Brand-Mama-Natural-Massage/dp/B084DVRXVX?linkCode=sl1&tag=grabdeal99-21&linkId=fe7ba2de9bd162763f9b7df6c4cf2976&language=en_IN&ref_=as_li_ss_tl,0,0,0,1358941,NP
https://zongshenperu.com/moto/zs150-a/,11,0.24,113689,188514,NP
https://myemail.constantcontact.com/subject.html?soid=1130405209687&aid=f4KY-8S5pIU,0,0,0,11614,NP
https://rx.bartelldrugs.com/pay-and-go/?guId=c26683ec6cac4e9d969f1c151ab50821&storeNumber=06921,17,0.27,,92269,NP
https://www.theknot.com/content/wedding-dress-trends,27,0.25,648815,678593,NP
https://ughi2.app.link/fuzzsQ671kb,32,0.38,,14267,NP
https://israelpost.co.il/itemtrace_he?itemcode=RU0029577537Z,19,0.52,,215513,NP
https://twitter.com/search?q=%23VITERY+%23%E3%82%A2%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96+%23%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88+%23%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3+%23PR+%23%E3%83%9D%E3%83%AA%E3%82%A2%E3%83%9F%E3%83%B3+%23LKM512&src=typed_query,0,0,0,117585,NP
https://wegotthiscovered.com/movies/mark-ruffalo-wants-to-make-your-date-night-memorable/,10,0.21,129571,288086,NP
https://ucz15.app.link/3VUYr7G6Wkb,32,0.41,,16599,NP
https://www.fareboom.com/Login?ReturnUrl=https%3A%2F%2Fwww.fareboom.com%2FProfile%2FTrip%2FO-2B1243757&data=nVuniiKpiFyPRKpTqwhUUegGQXbBrkTAXmoemIcoGLlVr7redb65R6lOmsxfGDOr6PqFVG,39,0.37,43143,72749,NP
https://creditscore.creditrepair.com.au/optin1635219060447,11,0.1,,205386,NP
https://www.gospelgoods.com.br/livro-curso-de-historia-da-igreja-7601.html?utm_source=whatsapp&utm_medium=social&utm_campaign=w_7601_221718_out21,15,0.13,,137542,NP
https://lightroom.adobe.com/shares/ec9a1a15917e4f00a4598115cc8c5ba3,0,0,0,333202,NP
https://www.osohshiki.jp/plan/reduce/?mailback=4d512b309a4ae272f50b7d60c57e966c3934de3ed0f42f505b7fd693896a54ad#at02,11,0.2,,119724,NP
https://images.google.com.ua/url?q=http://secretmakings.com/,2,0.07,1550,1550,NP
https://r5yeg.app.link/MM6zuxP71kb,33,0.4,,16599,NP
https://nefl211.satmetrix.com/surveyui/?p=MTIAAAAAAAAAAAAAQGUa9t4dDHVDb0FjonxU/GwlidYNmHc9YgHqMn7m9QLmZnPz628dADCaN%2BRycQsdzssASG47Z/chHzl58Qh8H6J6x8VSxWf73BkokJLH9P9PxO91GScIoOqWVAv4ItJ73TWx5YQ/Rds%3D&type=invite&selectedLanguage=en_US,6,0.22,,24155,C
https://andina.pe/agencia/noticia-investigadores-peruanos-fomentan-estudio-las-algas-marinas-868698.aspx,42,0.3,,255358,NP
https://danat.fra1.qualtrics.com/jfe/form/SV_55XIGQDsRevNwXP?Q_CHL=gl&Q_DL=kENSSdjZRC5bvS0_55XIGQDsRevNwXP_CGC_OTa8TKhMk2Rboxn,0,0,0,42627,NP
https://modas.co.il/products/autumn-winter-women-boots-2020-round-toe-flat-short-plush-genuine-leather-ankle-boots-black-brown-solid-all-match-short-boots?utm_medium=social&utm_source=poststudio&utm_content=9098850,16,0.17,273561,608187,NP
https://msta.digital.singtel.com/pages/deeplink.html?path=app/onboarding/orderstatus&token=tGHdaANBAGMAH391L1ug07OQpc0M0z_E7aaEyxXRBmbrA5Okb4j9xrxih-g8egks&sid=B1,23,0.16,,8516,NP
https://jobs.kr.karrotmarket.com/shared/job_posts/MTpKb2JQb3N0OjYxNjdkYmVmZjZkOGUzMDA0OWRlNGYwZQ==,25,0.1214285714,6264,5802,NP
https://xn--80ahnfbbysk.xn--p1ai/Toyota-Venza-2015.html#%D0%9D%D0%B0%D0%B7%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%86%D0%B2%D0%B5%D1%82%D0%B0,14,0.24,21122,149946,NP
https://www.pacermonitor.com/view/OQZJXNI/Freedom_Sales__Service_LLC__txwbke-21-70120__0058.0.pdf,34,0.13,4038,4140,NP
https://nextbigideaclub.com/magazine/effortless-make-easier-matters-bookbite/27845/,22,0.18,84884,92053,NP
https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3Ab17a01d025b44bb79b41c9977201c376%40thread.tacv2%2F1627188280215%3Fcontext%3D%257B%2522Tid%2522%3A%25221e56fce6-bdb7-4cdc-ba47-4a156484a894%2522%2C%2522Oid%2522%3A%25220b7c1f48-39c4-4b40-9b52-9a74b31fd404%2522%257D%26anon%3Dtrue&type=meetup-join&deeplinkId=05bce643-3908-4429-bd36-f5a4183d0a0d&directDl=true&msLaunch=true&enableMobilePage=true,0,0,0,12039,NP
"https://www.banggood.com/6-Pcs-Elfeland-Cabinet-Lights-RGB-Led-Night-Light-with-Remote-Control-Stairs-Light-Cabinet-Light-Battery-Operated-for-Cabinets,Wardrobe-Kitchen-Bedroom-p-1684330.html?utm_campaign=joao&utm_content=chenyanfang&p=QW220911172492015011&cur_warehouse=ES",14,0.24,,29907,NP
https://www.chinatimes.com/realtimenews/20211109001375-260405?utm_source=fb&utm_medium=pic,23,0.22,,108637,NP
https://f9xr2.app.link/qdpxvRittkb,18,0.35,,16540,NP
https://www.ford.mx/suv/bronco/2021/?fmccmp=cs:fordbronco|instagram|landing|biofordmx|nameplate|20210427,32,0.42,461147,510957,NP
https://www.accessconsciousness.com/en/class-catalog/access-special-classes/talk-to-the-entities/talk-to-the-entities-business-hours_637513169928774905/details/,25,0.28,131548,132569,NP
https://www.marineinsight.com/marine-navigation/understanding-the-principles-of-passage-planning/,15,0.17,109538,122435,NP
https://www.independent.ie/irish-news/almost-5000-covid-checks-on-hospitality-businesses-unable-to-be-completed-41032695.html,22,0.24,172964,282442,NP
https://smiledirectclub.com/checkout/?w=impr&discount=TEXT12&utm_source=SFMC&utm_medium=sms&utm_campaign=tof_slead_day14_track1&utm_content=2021-11-09&utm_term=f07c1092-6e2a-4c27-856d-07ca0b19822c&token=U3BlY2h0Lmp1YW5AeWFob28uY29tOjFtajM1bjo4VDd0OUhUNjFTY1FveHc5WDBsYlY5Ulc2dW8=,30,0.39,,165561,NP
https://as.com/meristation/2021/11/09/noticias/1636436253_232856.html,23,0.37,124500,214091,NP
https://www.thenationalnews.com/podcasts/trending-middle-east/2021/11/09/dubai-wef-shared-goals-obama-at-cop26-jeff-bezos-reacts-to-leonardo-dicaprio-trending/,28,0.31,540650,543207,NP
http://cloud.community.sikarin.com/Post-Appointment-Survey?PatientTransactionId=a0V6F00001n9H8ZUAU&VocURL=https%3a%2f%2fsikarin.secure.force.com%2fsurvey%3fquestionType%3dSKR-PPS02%26hn%3dSK55392475%26patientTranId%3da0V6F00001n9H8ZUAU&Clinic=Pediatric,19,0.12,,6398,NP
https://checkout.stripe.com/pay/cs_live_a1MSQrnlnMqo8nqrK0eqAaXS9EOsSMY7zU7ZRSptddCVOctlIE8ikOIvlE#fidkdWxOYHwnPyd1blppbHNgWm5VX09vf05WfUw2VlExMEJcfXE8djFjNjU1anxJdXxwY2wnKSdjd2poVmB3c2B3Jz9xd3BgKSdpZHxqcHFRfHVgJz8ndmxrYmlgWmxxYGgnKSdga2RnaWBVaWRmYG1qaWFgd3YnP3F3cGB4JSUl,8,0.33,4407,31030,NP
https://catalogues.metro-group.com/metro-cash-carry-india/metro-matlab-zabardast-profit-10th-august-bangalore,18,0.1,3554,4957,NP
https://bosjualan.com/,20,0.21,363538,388248,NP
https://www.volkskrant.nl/nieuws-achtergrond/china-rates-its-own-citizens-including-online-behaviour~b4c0ae0e/,23,0.19,8551,15178,NP
https://alz-org.zoom.us/meeting/register/tJApcOGsqDwuGNY1kJcFcvEA7B1Nm_Q_6yR2,0,0,0,38280,NP
https://www.otcmarkets.com/stock/SNNSF/news?id=329754,12,0.26,20824,98067,NP
https://lapulga.com.do/f/5938684-1.jpg,14,0.11,9656,9656,NP
https://d1o38m7824kmm1.cloudfront.net/1636419140391-c3ede7f5-bac9-4a28-a92e-c9a30aef9f22.html?Expires=1640307141&Key-Pair-Id=APKAJEQ6Y2OX7CHZ7XWA&Signature=HQx3fkVmkCbVfi8xTh5Hbg9McB-DwcO00vh~384xMY6SSCD-wM2PljCB8T9~FvDrAZXYiaY6YiyRHcVG6NZ~I32e0uud0Nkhk-JnEIJY2vAFCEPIH10Tanun8GALDolutA8gKw99hBikYwVueMBDLjqo1iwrk1bSPABxeFiNIQLysN6aIXASHuevxJDQAYO6wBKXVoZB6mR2hmeSshUoKigs1xlV9n~iuoHU9CklD9n-F4LdZLrKh~pZm~X49Bx8ac1BiWRvCIxR14J0gYdEOkhdVAMLby0DmF~5WNo46l1YrtOxeE30li2r2Q1bgwzdnwxu4WjMlL6QKzP7xuhahQ__,14,0,,84456,NP
https://www.smzdm.com/p/41950900/,30,0.36,,193566,NP
https://www.usainfuture.com/ransomware-crackdown-spreads-in-u-s-europe-and-asia/?_unique_id=6189c89083f3a&feed_id=1269&utm_campaign=FS+Poster&utm_medium=Aryan&utm_source=Pinterest,20,0.2,,123550,NP
https://cathyduffyreviews.com/index.php?catid=88%3Aanimals-birds-and-insects%27+AND+3185%3D%28SELECT+UPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28120%29%7C%7CCHR%28107%29%7C%7CCHR%28118%29%7C%7CCHR%28113%29%7C%7C%28SELECT+%28CASE+WHEN+%283185%3D3185%29+THEN+1+ELSE+0+END%29+FROM+DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28107%29%7C%7CCHR%28118%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29+FROM+DUAL%29+AND+%27nxMd%27+LIKE+%27nxMd&id=1391%3A100-plus-easy-and-fun-creative-nature-walks&option=com_content&view=article,19,0.02,,347,C
https://forum.audiogames.net/post/677858/#p677858,22,0,24779,39,NP
https://www.mediotiempo.com/futbol/liga-mx/toluca-vs-pumas-jornada-6-cambia-horario,19,0.34,59027,395858,NP
https://www.capital-hk.com/topics/%E6%AF%94%E7%89%B9%E5%B9%A3%E5%86%8D%E5%89%B5%E6%96%B0%E9%AB%98%EF%BC%8C%E7%A0%B467000-%E7%BE%8E%E5%85%83%E9%97%9C%E5%8F%A3/,6,0.17,91785,143344,NP
https://torontosun.com/sports/krykslants-russell-wilson-cleared-to-return-this-week?utm_medium=Social&utm_source=Twitter#Echobox=1636422722,25,0.4,,585648,NP
https://online.flipbuilder.com/tpjq/gcoh/,39,0.37,20811,462404,NP
https://www.newstalkzb.co.nz/news/business/bnz-profit-up-74-per-cent-to-1-32-billion/,20,0.3,158795,257960,NP
https://watchmoviesonline99.launchaco.com/?source=https://21movie.site/tt0112722,25,0.26,,6685,NP
https://www.sec.gov/Archives/edgar/data/1455383/000156761921019511/0001567619-21-019511-index.htm,0,0,0,14469,NP
https://imgur.com/gallery/LMFsoDm,0,0,0,28727,NP
https://calendly.com/nesto-fr/application-qc?a1=18196022821&email=louis-charles.boucher@molsoncoors.com&name=Louis-Charles&sfid=0060A000002n3md,0,0,0,77523,NP
