url,ursula_score,vision_score,ursula_size,vision_size,manual
http://ukte.epizy.com/,72,0.9,3463,1024,P
https://cloud.e-news.chanel.com/sms_unsubscribe_tha?ID=0032v00003nexK6AAI&MarketDivision=THA+-+FBP,66,0.26,,10389,P
https://levelupmax.xyz/press/fifa2021,74,0.62,60332,60507,P
http://ukte.42web.io/,72,0.9,3463,1024,P
https://hb2.bankleumi.co.il/?param1=0034K00000LMOXqQAP&param2=790514767&param3=85&channel=sms&utm_medium=sms&utm_source=mc_event&utm_campaign=onboarding_new_cust_login&utm_content=feb21,71,0.47,,86661,NP
http://daririzki.000webhostapp.com/,69,0.76,6589,6589,C
https://hmnvrfy.com/c6c87b6,77,0.56,55863,55742,P
https://it-chapel-coffee-classical.trycloudflare.com/,82,0,168844,39,P
https://unlock-it.top/pokemon~204182m,69,0.59,59653,59734,P
https://linkedsecure.ns02.us/main.php,83,0.88,95178,95178,C
http://adeelatif.000webhostapp.com/,69,0.36,,37859,NP
https://omrcru8rkm6yzdwktmzewdghob3zlbwjlcjiwmje.filesusr.com/html/006b0d_09c606382259a585f3692873c7a1da0d.html?*TXU4NjI1NDA2KioqZXMq&5eb641_7c2110553aaf0aaaabf4d9047845bc5f&5eb641_2690e17f11ad11b6bf0a55d6a0464fe7,97,0,,113,P
https://qgtaankmxiwsjdwhv7i1dkzyu.filesusr.com/html/c69417_bbe60b73bd63a9d9d955290255771309.html?*bWljYWVsYTIxKmh0dHBzOi8vd3d3LmNhbGN1bGFkb3JhLWRlLWRlcml2YWRhcy5jb20vKmhlaXBvdXRpbG9va0BvdXRsb29rLmNvbSplcypuaWNvYXJpMjFAZ21haWwuY29t*,81,0.72,13092,13092,P
https://mjaymu5vdmvtymvynjewdgg.filesusr.com/html/c69417_3069841d505568614ed8bca153fc7adf.html?*c2Rnc2Rnc2Rnc2RnKioqZXMq*,97,0.98,59278,59278,P
https://foto14625309841341234.filesusr.com/html/aa8831_aeba43805e1cafffb8215a5b852f22df.html?MTc2MjU3NQ==*THVpczEzamltYm9AZ21haWwuY29tIA==*aHR0cHM6Ly9tLmZhY2Vib29rLmNvbS9waG90by5waHA/ZmJpZD0yMDA0MTMwNjg5NzY0MzYxJmlkPTEwMDAwNTAyMzQ3MDcyNyZzZXQ9YS4xMDA0Mjc0OTY4MDEzNjYmc291cmNlPTEx**RmFjZWJvb2s=,96,0.94,,154076,P
https://equable-endurable-cross.glitch.me/?email=grape@jolionfoods.com,75,0.63,65387,65387,P
https://givingster.xyz/892efb3?s1=Ejang$$,70,0.31,69903,69283,P
http://linktoplayer2.000webhostapp.com/i/i/i/,80,0.24,,27014,P
https://ylfak3dbbug6xdqr.filesusr.com/html/3ac99f_3bc2c918047182ecf891b26838627130.html?ODQ5NjE2MQ==****eUxGQUszREJCdWc2WGRxcg==*RmFjZWJvb2sgRXNwYcOxb2w=*,86,0.88,,26033,P
https://e0e3-190-148-53-171.ngrok.io/,70,0,14459,166,P
http://200000005794631825976.tk/checkpoint_next.php,81,0.01,10186,10107,P
https://accountmsncom.filesusr.com/html/2edb92_76c5f3a0ada025d4c275e38c791d6f9b.html?MzM1MTI5OA==*bWVtYmVyX3NlcnZpY2Vzd2luZG93c2xpdmVAaG90bWFpbC5jb20=*aHR0cHM6Ly9sb2dpbi5saXZlLmNvbS9sb2dpbi5zcmY/**T3V0bG9vaw==,96,0.7,,58908,P
https://engine-collections-subscription-after.trycloudflare.com/login.html,100,0,96669,39,P
https://grupohot.filesusr.com/html/aa8831_aeba43805e1cafffb8215a5b852f22df.html?NTk5MTcxNw==*cm9jaW9oMjM4MTgyODNAZ21haWwuY29t*aHR0cHM6Ly9wb3Juby5jb20=**RmFjZWJvb2s=,97,0.96,,153733,P
https://mobilegamingtipsreviews.blogspot.com/p/fap-ceo.html,67,0,58982,59719,P
https://catenshonlamsf.com/03/tipciom372hiory2p7n13ix6.php?eGiD751636507831ea3714cad07f2795fce122b71c293b91ea3714cad07f2795fce122b71c293b91ea3714cad07f2795fce122b71c293b91ea3714cad07f2795fce122b71c293b91ea3714cad07f2795fce122b71c293b91&email=,86,0.12,2213,264,P
https://help4play2.win/avakinlife/,74,0.68,56938,57827,C
http://200000005794631825979.tk/checkpoint_next.php,81,0.01,10186,10107,P
https://0886.filesusr.com/html/aa8831_aeba43805e1cafffb8215a5b852f22df.html?MjA5NDgxMw==*cml3ZWZpeTMxMUBkM2ZmLmNvbQ==*aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tLw==*jusbxd@hotmail.com*RmFjZWJvb2s=,97,0.95,,153788,P
