url,ursula_score,vision_score,ursula_size,vision_size,manual
https://3bflo.app.link/qhBOjWBRblb,21,0.09,19300,5973,NP
https://www.fandelavida.com/sucede-cerebro-cuando-aprendemos/,12,0.1,108858,113381,NP
https://hvc7n.app.link/nNZ5lU6Obkb??gthsdhxdfhdxfh,22,0.23,,6509,NP
https://www.anthropologie.com/order/AP15552306/?customerZipCode=07423,25,0.33,,401745,NP
https://www.cbs.com/shows/late-late-show/,0,0,0,245456,NP
https://www.indigenousliteracyfoundation.org.au/news-events/what-are-you-doing-to-celebrate-naidoc-week,21,0.2,31012,69536,NP
https://www.hk01.com/%E9%96%8B%E7%BD%90/267341/%E7%A7%91%E5%AD%B8-%E7%B6%93%E6%BF%9F-%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B-8%E5%80%8B%E5%A4%A7%E5%AD%B8%E5%85%AC%E8%AA%8D%E4%B8%AD%E4%BC%8F%E7%A7%91%E7%9B%AE-%E7%A7%91%E7%A7%91%E6%9C%89%E6%9C%AC%E9%9B%A3%E5%94%B8%E7%9A%84%E7%B6%93?utm_medium=Social,22,0.26,125381,569222,NP
https://www.mainstreetcontest.com/profile/68?fbclid=IwAR2VDXXKKDfu5vcql_jm4ZOMaJtbpL1x7bPdfhmFXtnvEDKLW7VlJ2VbDqE,17,0.23,14033,13881,NP
https://www.atomtickets.com/ViewEvent?eventId=704979b1-0415-4ea9-9c3e-cbc463e21aed&inviterId=c70264af-3886-4f1e-affa-1c5693c09ba1,36,0.37,,629347,C
https://redcape.au1.qualtrics.com/jfe/form/SV_0VC3rjvy0x1IqYR?FirstName=Mark&LastVisitedVenue=Mt+Annan+Hotel&Tier=Change+Starter&sfContactId=0036F00002mlaGYQAY,0,0,0,39385,C
https://89a8h.app.link/eW3aSQGSblb,22,0.28,,14844,C
https://www.today.com/popculture/mcdonald-s-new-emotional-christmas-ad-tearjerker-t238912?cid=sm_npd_td_tw_ma,0,0,0,495774,NP
https://www.rummycircle.com/baf.html?utm_medium=baf_whatsapp&refId=66726414&refCode=THEA8257&baf_promo_code=Default551&cid=2003,36,0.29,,50913,NP
https://viettelpost.vn/app/landingpage/?utm_source=SMS&utm_medium=Lauching&utm_campaign=SMS10,48,0.5,26506,26290,C
https://www.etsy.com/listing/1015528137/metal-house-numbers-address-plaque,0,0,0,996256,NP
https://zrwhh.app.link/hed0SgqA6kb,30,0.15,,6134,NP
https://mcvma.qualtrics.com/jfe/form/SV_4ZsBrSVdZQsa4dM,0,0,0,75842,C
https://www.twant.com/?url=%257B%2522name%2522%253A%2522goods-commonId%2522%252C%2522params%2522%253A%257B%2522commonId%2522%253A67696%257D%252C%2522query%2522%253A%257B%2522customMessage%2522%253A%252262703%2522%252C%2522invite%2522%253A%252260%2522%257D%257D&customMessage=62703,23,0.27,135236,224412,NP
https://dailybusinesspost.com/web-design-trends-2021/,15,0.17,236356,235679,NP
https://www.liveworksheets.com/c?a=s&g=ม.1/6&s=วิทยาศาสตร์&t=xcjdvka6rnj&sr=n&ms=uz&l=iu&i=suudsu&r=bv&db=3&f=dzduuztu&cd=pmkqnycd1slqloxpxxnpxfy0ngnxxgzxxg,41,0.32,,235134,NP
https://www.pbs.org/wgbh/frontline/film/the-choice-2020-trump-vs-biden/,0,0,0,148435,NP
https://informe21.com/actualidad/los-7-suenos-que-traen-buena-suerte-tu-vida?utm_content=buffer306b8&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,15,0.29,,140894,NP
https://www.samsung.com/ph/smartphones/?cid=ph_ow_affiliate_omni-a-0194_other_none_omni-channel_text_na_na,0,0,0,1018272,NP
http://www.enciclopedia-juridica.com/d/principio-de-generalidad/principio-de-generalidad.htm,10,0.16,8602,8583,NP
https://www.tendances-lingerie.com/collections/marie-jo-gloria-noir,16,0.12,160052,163391,NP
https://jp.peacebird.com/products/polo-collar-solid-waffle-knit-blue-sweatshirt-awbfb3262,19,0.15,359383,465921,NP
https://top4fanbangers.wixsite.com/licon18,47,0,,5592,C
https://www.godtube.com/watch/?v=YPPZL7NX&utm_content=bufferdac15&utm_medium=twpage&utm_source=twitter&utm_campaign=gttweet,20,0.2,145271,153499,NP
https://www.cosme-lingerie.com/produit/shorty-louise-noir/,14,0.2,469477,487952,NP
https://item.rakuten.co.jp/reebok/h03291/,0,0,0,141547,NP
https://pmimsa.eu.qualtrics.com/jfe/form/SV_0NT3xEFGhrAfaKi?U_PER=7d7fd0ca9f2241e5a329b601833f6ba8&U_COU=PH&Q_Language=EN&U_TOU=t3Ef&U_CHA=c2Cd&U_DAT=20211108&U_CPG=&U_HUD=c2Cd&U_DIR=dirret1&U_DIG=dirgrp1&U_DRR=dirreg1&U_COR=&U_DRG=&U_TDE=&U_DEV=muk&U_PLA=pla1Ab&U_DIS=d3ef&utm_cid=5bmbwgt4,0,0,0,117036,NP
https://oxe8d.app.link/cTXtcsb1blb,28,0.33,,14773,NP
https://gggrm.app.link/huEVxTb1blb,28,0.34,,14773,NP
https://k43ab.app.link/HK5g4oy1blb,28,0.34,,18051,NP
https://fabricaderiqueza.com/opt-in-mini-curso/?campanha_chave=9HBY8&trackerId=74577acc0233ae871d775e87776697d3&a=37970657,7,0.05,36122,38280,NP
https://eu.canvases.at/pomegranate/controller/?game=02YD3,14,0.14,1639,1639,NP
https://www.wadiz.kr/web/campaign/detail/128978?utm_source=mp&utm_medium=sms&utm_campaign=follow_newrw&utm_content=128978,20,0.22,131493,272249,NP
https://fryrj7txfvnvpevv.filesusr.com/html/2fe057_46d2b43e05d17069909b36be5ab0f73c.html?MzE1ODQ0OQ==*cGFjLm1hbi5tYXJ0aW5AaG90bWFpbC5jb20=*aHR0cHM6Ly93d3cuZmFjZWJvb2suY29t**ZlJZUmo3dFhGdk52cEV2dg==*RmFjZWJvb2sgRXNwYcOxb2w=*,46,0.97,116613,153520,P
https://israelpost.co.il/setaddress?barcode=RU0030256357Z&phone=0505281834&mail=nyta@012.net.il,17,0.48,,634294,NP
https://mybirthday.club/app/view_page.php?id=8989&sub_id=159123&src_id=1529,24,0.31,22349,22448,NP
