url,ursula_score,vision_score,ursula_size,vision_size,manual
https://www.hama-milk.com/checkout_payment?order_id=2111271305093028&signature=4d50beb8819c6a32f17332bf6af0fc86&payment_gateway=paypal,88,0.17,12152,6792,NP
https://www.cantores-minores.de/checkout_payment?order_id=2111270854120583&signature=6c642b6d53ec665ea8c8bc84761d6a4d&payment_gateway=paypal,87,0.18,,6920,NP
http://c0ncursofacebook.webcindario.com/,76,0.75,162797,162797,P
https://cloud.e-news.chanel.com/sms_unsubscribe_tha?ID=0032v00003kEBIjAAO&MarketDivision=THA+-+FBP,66,0.26,,10389,P
https://suprfit.com/,65,0.56,125082,125048,NP
http://robux.eu5.org/,70,0.3,70474,69823,P
https://onlineserver-webcom.de/pay/61a278d55bcd0,96,0,1310930,39,D
https://shortest.link/1Ys0,100,0.2,229798,11224,NP
https://facebook-pagina625580.com/?837,84,0,,39,P
https://hockeyaddicts.com/articles/BOLLyO/hurricanes-daily-download-recap-stats-injuries-amp-news-35,66,0.65,811276,440300,NP
http://c24e-103-211-55-213.ngrok.io/,97,0,158932,166,D
http://dd70-182-70-137-248.ngrok.io/,80,0,,1036735,D
https://100000032002145419-ar.tk/checkpoint_next.html,71,0.2002872405,,1217,P
https://znob3cq77yg4.loclx.io/login.html,98,0.07,143995,1149,D
https://winklevosslander.blogspot.com/,77,0,242032,242032,P
https://hbofreeaccount.blogspot.com/,70,0,55649,56633,P
http://idn-m.teenpattiboss.com/dynamic/subject/teenpatti/tp-master-invitation-v2/share/index.html?invite_code=01ef43831f3a428ebaacf575972903db&package_name=id_game_basic&from=invitepeople_page_whatsapp&area=id&bonus=0&name=Saniyatul%20Wada2769&avatar=http%3A%2F%2Fidn-game.oss-ap-southeast-5.aliyuncs.com%2F2009137730_avatar%3FExpires%3D1638120662%26OSSAccessKeyId%3DLTAI4G7S94hojgG5ZwXcAUrg%26Signature%3DF5RCKz3wZo09Z2yJmgkFLDf5fT0%253D,70,0.39,38210,38209,P
https://gamingsurfx.com/?aa9929f,67,0.64,42741,42749,P
http://masihhangat-gabunggrup18.se.ke/,93,0.03,7189,397,D
https://citibank.co.vu/,72,0.6,2814143,2814143,D
https://follow-add.live/11/,83,0.82,27516,27658,P
https://item236723672.com/facebook-realtor/ad-view/,74,0,7980,39,P
https://wsgewgwg.wixsite.com/rbxfliploggercreatr,67,0,399937,401413,C
https://www.denydog.cz/checkout_payment?order_id=2111271015591792&signature=793873451da174b3412ae8758c694b46&payment_gateway=paypal,89,0.18,,6927,NP
https://www.southendmarineactivitiescentre.co.uk/checkout_payment?order_id=2111270858065186&signature=3e0ade6cd43ee7f8139563a2ae85f2e3&payment_gateway=paypal,88,0.16,,6909,NP
https://www.top-parquet.com/checkout_payment?order_id=2111271445301161&signature=a80039674a05b673cb2e83482de77f87&payment_gateway=paypal,90,0.15,12152,6961,NP
https://floreriahhernandezjrz.000webhostapp.com/login.html,85,0.03,8939,25099,D
https://id.my.softbank.jp/sbid_auth/type1/2.0/authorization.php?response_type=code&client_id=u23ozo9kaznF0QFppIH9xG0W0oapjyIB&redirect_uri=https%3A%2F%2Fmy.softbank.jp%2Fmsb%2Fd%2Fauth%2FdoReceiveSbid&display=touch&prompt=login%20consent&scope=openid&nonce=202111281225070766SOeL7uSdUuuWn3&ui_locales=ja&weblinkid=WCO010004&acr_value=1&amr=me,81,0.87,17876,17873,P
https://machinengineering.site/page/ik/index.php?quote=sales@montanadata.com,84,0.82,8645,8645,P
https://follow-gen.club/31/,81,0.8,27659,27689,P
https://www.ing.pl/,73,0.67,117950,119355,NP
https://legacy-exterior-pose-susan.trycloudflare.com/login.html,100,0,96585,39,D
https://bitskins.com/?ref_alias=iEu04mUsmgo,67,0.64,364597,389598,P
https://flzd0wnl04d.000webhostapp.com/wetransfer/fil3z/,67,0.69,121176,120483,P
https://www.epsys.cz/checkout_payment?order_id=2111270327202618&signature=45b2c6de9ed1c083a50bc0ec2cd2f8c8&payment_gateway=paypal,88,0.16,12126,6895,NP
https://www.capperind.com/checkout_payment?order_id=2111271230369682&signature=29fa3e9ed46ef397803b23dc2ed82787&payment_gateway=paypal,86,0.19,12130,6911,NP
https://a011-190-239-72-116.ngrok.io/id=290.php,65,0,,166,D
http://87.106.229.12/,85,0.03,92721,253,D
http://feclan.hostfree.pw/,80,0.92,94419,1024,P
https://secur05b-chasee.duckdns.org/chase%20ranger/,96,0,142829,39,P
https://aflamforfree.000webhostapp.com/watch/,65,0.66,10362,10362,P
https://instragrambahasamadura.000webhostapp.com/,89,0.02,177744,28667,P
https://www.fengshuiobchod.cz/checkout_payment?order_id=2111271132571257&signature=5ba8707930392eedff69a5d592ac54d6&payment_gateway=paypal,89,0.18,12112,6930,NP
https://www.tldownload.com/checkout_payment?order_id=2111270446246665&signature=2053b039eeaae846b6e2abd3966de81b&payment_gateway=paypal,88,0.15,,6914,NP
https://chicapucallpa000conocida000.000webhostapp.com/Foto.html,80,0.03,64061,25099,D
https://a649-190-218-132-8.ngrok.io/,70,0,14463,165,D
https://term-surgery-identity-extras.trycloudflare.com/login.html,93,0,22610,39,D
https://dry-badlands-19252.herokuapp.com/start,71,0.72,96123,96123,P
https://njmwdghtzxb0zw1izxiymdiw.filesusr.com/html/57e21d_ddbe01803007f22d9bbc8baf31a79d09.html?*ZXJpY2sxOTg1KioqZXMq&57e21d_57270b97b7436a93554682141ed4a029&dae85e_3d1efb2ae3d88abdfcec57abcf044754,97,0,,113,P
https://oit-help-desk-unr.weebly.com/,81,0.83,,30831,P
https://www.e-mp3.cz/checkout_payment?order_id=2111270255316804&signature=a196610fee679d4ad543e855ee9a3faa&payment_gateway=paypal,86,0.17,,6903,NP
https://singapost-1-987bf6.ingress-erytho.easywp.com/package/box_track/index/,92,0.96,6834,6834,P
https://royaletreasure.com/new/,72,0.64,13067,13067,P
https://music.musicdoodad.com/s3/a8c9a8596d3b,71,0.4473333333,16477,16477,D
https://educational-ir-discipline-audience.trycloudflare.com/login.html,93,0,22610,39,D
https://www.jennifermillar.com/checkout_payment?order_id=2111271022179540&signature=fa121c0c2bb449d28d5f786b4c9c70da&payment_gateway=paypal,88,0.16,,6816,NP
https://get-cp-cod.netlify.app/catsaa.com/get-cp.html,65,0.81,15500,15334,P
https://attract-vault-humanity-hall.trycloudflare.com/login.html,69,0,2375,39,D
https://newsgamezone.club/Roblox/?FREEiPhone13Giveaway,75,0.54,60180,60228,P
https://ftfestate.com/findo/,66,0.01,40401,582,C
https://onboarding.applivfin.com:8443/onboarding-0.0.1-SNAPSHOT/api/esign/view/5/619e2665148fc309a7fbbcb6/b2d62a06-aa42-476e-93a3-d1a0c94ee51f/1638011135984/otherIndv/1,68,0,1871282,39,NP
https://f2fb-187-161-115-78.ngrok.io/id=1.php,70,0,18886,166,D
https://findics.com/SP/delete-someone-off-snapchat-before-they-view-my-story-will-they-still-see-it.html,65,0.66,7687,7687,P
https://d6fb-202-129-187-60.ngrok.io/,94,0,57400,166,D
https://mind-arg-barry-drink.trycloudflare.com/login.html,98,0,143995,39,D
http://half-bred-offset.000webhostapp.com/login.php,85,0.79,,7619,P
https://eduscavenger.com/MA/view-actual-birthdays-on-Snapchat.html,67,0.65,7656,7656,P
https://www.skandinavialoppet.com/checkout_payment?order_id=2111271123226765&signature=552a6dc49bb9710415a9bd3903b88cfd&payment_gateway=paypal,87,0.19,,6909,NP
https://pharmacies-farm-bay-maintain.trycloudflare.com/login.html,97,0,745692,39,D
http://500000000987654324465984212.tk/checkpoint_next.php,72,0.01,10589,10122,D
https://ps212nn.blogspot.com/,70,0,55496,55511,P
https://wheel-stanley-valuable-librarian.trycloudflare.com/login.html,98,0,,39,D
